children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5818.451158463955,2909.2255792319775,374.9680251920204,187.4840125960102,200.0,2.0
0.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4447.521017551422,2223.760508775711,267.0646858783914,133.5323429391957,300.0,2.0
0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,177.4863567352295,59.162118911743164,164.54335672826352,54.84778557608783,700.0,3.0
0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1057.8409118652344,528.9204559326172,74.76918206425601,37.38459103212801,1100.0,2.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1263.2300071716309,1263.2300071716309,7.576472201129885,7.576472201129885,1200.0,1.0
0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.44248962402344,336.44248962402344,394.4144218970924,394.4144218970924,1600.0,1.0
2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,307.3150062561035,61.4630012512207,289.29868179164237,57.859736358328476,1900.0,5.0
3.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,65.38089990615845,13.07617998123169,238.16618264983111,47.633236529966226,2500.0,5.0
0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.9029312133789,374.95146560668945,108.58102559997617,54.290512799988086,2600.0,2.0
1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,200.1608772277832,50.0402193069458,242.86114072094708,60.71528518023677,2700.0,4.0
2.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1240.9566206336021,310.23915515840054,303.66135068491536,75.91533767122884,3200.0,4.0
0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,18.794160842895508,4.698540210723877,464.91035576555703,116.22758894138926,3300.0,4.0
0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,241.37499618530273,120.68749809265137,221.74696560593296,110.87348280296648,3400.0,2.0
0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4823.589256763458,4823.589256763458,206.82755927598004,206.82755927598004,3500.0,1.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3046.471782684326,3046.471782684326,131.47469379810582,131.47469379810582,3700.0,1.0
0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,580.1284561157227,193.37615203857422,282.3233933302229,94.10779777674098,4500.0,3.0
0.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,249.74755382537842,62.436888456344604,307.02415445994296,76.75603861498574,4700.0,4.0
0.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2963.785400390625,987.928466796875,399.73108088929297,133.24369362976432,4800.0,3.0
0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0685043334961,871.0685043334961,203.68134894253058,203.68134894253058,4900.0,1.0
0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,258.25239300727844,86.08413100242615,269.32497393044486,89.77499131014828,5200.0,3.0
2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,171.15647888183594,42.789119720458984,380.22598507155914,95.05649626788978,5400.0,4.0
2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2742.3017807006836,685.5754451751709,148.2763826521126,37.06909566302815,5600.0,4.0
0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1915.4862670898438,1915.4862670898438,78.25871466611817,78.25871466611817,6000.0,1.0
0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2185.2287187576294,2185.2287187576294,65.66523598845171,65.66523598845171,6100.0,1.0
0.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.08033752441406,40.04016876220703,625.6839902351298,312.8419951175649,6300.0,2.0
0.0,0.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1102.0638332366943,551.0319166183472,414.1047917150839,207.05239585754194,6500.0,2.0
0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,193.56704711914062,96.78352355957031,34.80225385415251,17.401126927076255,6600.0,2.0
0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,280.447998046875,140.2239990234375,7.335883840849191,3.6679419204245955,6800.0,2.0
3.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,225.11274755001068,45.022549510002136,517.0307206176266,103.4061441235253,7600.0,5.0
0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2745.47615814209,2745.47615814209,109.18796760718045,109.18796760718045,7800.0,1.0
0.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,92.1519627571106,30.717320919036865,225.36636891396714,75.12212297132237,8100.0,3.0
2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,176.05539464950562,25.150770664215088,255.41681533181804,36.488116475974,8300.0,7.0
0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2581.194227218628,1290.597113609314,218.38778063794538,109.19389031897269,8900.0,2.0
1.0,0.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2250.6273322105408,750.2091107368469,531.7308473314856,177.24361577716186,9000.0,3.0
0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4361.637438774109,4361.637438774109,106.25626041764042,106.25626041764042,9100.0,1.0
0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,87.50276184082031,21.875690460205078,966.5971789819107,241.64929474547768,9500.0,4.0
1.0,0.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,423.14672470092773,141.04890823364258,310.0429806328997,103.34766021096657,9900.0,3.0
0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1626.8111572265625,542.2703857421875,139.09144180070783,46.363813933569276,10000.0,3.0
0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1013.5406532287598,506.7703266143799,152.84411758427453,76.42205879213726,10300.0,2.0
0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1806.3914122581482,1806.3914122581482,90.60554177189522,90.60554177189522,10800.0,1.0
1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,144.31219482421875,36.07804870605469,159.4157360174961,39.853934004374025,11200.0,4.0
0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,683.3002662658691,683.3002662658691,63.10882015349571,63.10882015349571,12200.0,1.0
0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,74.35563659667969,18.588909149169922,449.21388143372525,112.30347035843131,12300.0,4.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,775.2083892822266,775.2083892822266,129.89451855362725,129.89451855362725,12400.0,1.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,913.0251045227051,304.34170150756836,317.54605762173213,105.84868587391071,12600.0,3.0
0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1515.8394136428833,757.9197068214417,158.00516662771898,79.00258331385949,12900.0,2.0
0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,828.2777633666992,414.1388816833496,93.96214943956596,46.98107471978298,13500.0,2.0
0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,976.8390455245972,488.4195227622986,182.77849049936123,91.38924524968061,13700.0,2.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,891.0670375823975,222.76675939559937,74.0412506474353,18.510312661858826,13800.0,4.0
2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2256.8386516571045,564.2096629142761,84.01772763918464,21.00443190979616,14000.0,4.0
0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1048.6388664245605,524.3194332122803,393.07925454490464,196.53962727245232,14200.0,2.0
0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2843.462302207947,2843.462302207947,76.68096132912795,76.68096132912795,14300.0,1.0
0.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,164.28691864013672,41.07172966003418,173.0218505940726,43.25546264851815,14500.0,4.0
0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1433.906135559082,716.953067779541,154.0262485734595,77.01312428672975,15100.0,2.0
0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,515.7341156005859,128.93352890014648,222.7585304541355,55.689632613533874,15200.0,4.0
0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,367.38212966918945,183.69106483459473,174.34788478556138,87.17394239278069,15600.0,2.0
0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,882.3349914550781,882.3349914550781,45.519349667962025,45.519349667962025,15700.0,1.0
0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2767.624026685953,1383.8120133429766,403.11463795998543,201.55731897999271,15900.0,2.0
