,code,year,datalevel,cpi2011,icp2011
0,AGO,2000,2,0.03384806145875593,73.83311875
1,AGO,2008,2,0.7233371972494439,73.83311875
2,ALB,1996,2,0.4444327338379679,58.16801021
3,ALB,2002,2,0.7802877155877375,58.16801021
4,ALB,2005,2,0.8384734577874964,58.16801021
5,ALB,2008,2,0.9126222235137489,58.16801021
6,ALB,2012,2,1.0203642611597674,58.16801021
7,ALB,2014,2,1.0567866156471026,58.16801021
8,ALB,2015,2,1.0769714316354093,58.16801021
9,ALB,2016,2,1.0907041132034252,58.16801021
10,ALB,2017,2,1.1124520124300261,58.16801021
11,ARG,1980,2,0.26562537868887076,2.768382
12,ARG,1986,2,0.06808293930338413,2.768382
13,ARG,1987,2,0.15749919139589846,2.768382
14,ARG,1991,2,1591.2327001287438,2.768382
15,ARG,1992,2,0.18776114043206912,2.768382
16,ARG,1993,2,0.20434097656633102,2.768382
17,ARG,1994,2,0.21209257226335804,2.768382
18,ARG,1995,2,0.2166143429187037,2.768382
19,ARG,1996,2,0.2170450070535835,2.768382
20,ARG,1997,2,0.21833693707025612,2.768382
21,ARG,1998,2,0.220705480633153,2.768382
22,ARG,1999,2,0.21618370997780736,2.768382
23,ARG,2000,2,0.2146764322967032,2.768382
24,ARG,2001,2,0.21230790433079796,2.768382
25,ARG,2002,2,0.29391510819445976,2.768382
26,ARG,2003,2,0.30550664165657854,2.768382
27,ARG,2004,2,0.32251706394076174,2.768382
28,ARG,2005,2,0.3571840190893869,2.768382
29,ARG,2006,2,0.39421946061193947,2.768382
30,ARG,2007,2,0.48267892723308786,2.768382
31,ARG,2008,2,0.6057651139632672,2.768382
32,ARG,2009,2,0.6903821524996487,2.768382
33,ARG,2010,2,0.8600745211785934,2.768382
34,ARG,2011,2,1.0464920535614837,2.768382
35,ARG,2012,2,1.3116842305430025,2.768382
36,ARG,2013,2,1.6618131739928024,2.768382
37,ARG,2014,2,2.332343485851948,2.768382
38,ARG,2016,2,4.134574462908232,2.768382
39,ARG,2017,2,5.0946155108630355,2.768382
40,ARM,1996,2,0.4882780192236629,183.7795948
41,ARM,1999,2,0.6086229372819174,183.7795948
42,ARM,2001,2,0.6228047508763703,183.7795948
43,ARM,2002,2,0.6294067811385224,183.7795948
44,ARM,2003,2,0.6591245637283661,183.7795948
45,ARM,2004,2,0.7049842727468979,183.7795948
46,ARM,2005,2,0.7095042899660111,183.7795948
47,ARM,2006,2,0.7299972033824189,183.7795948
48,ARM,2007,2,0.7622092626865871,183.7795948
49,ARM,2008,2,0.830426674827366,183.7795948
50,ARM,2009,2,0.858711492113836,183.7795948
51,ARM,2010,2,0.9289362888558688,183.7795948
52,ARM,2011,2,1.0,183.7795948
53,ARM,2012,2,1.025580191839745,183.7795948
54,ARM,2013,2,1.0849578544202503,183.7795948
55,ARM,2014,2,1.1173037913374593,183.7795948
56,ARM,2015,2,1.1589981276978394,183.7795948
57,ARM,2016,2,1.14273033221634,183.7795948
58,ARM,2017,2,1.1538097146245239,183.7795948
59,AUS,1981,2,0.2906069000251834,1.526641499
60,AUS,1985,2,0.3951145807101502,1.526641499
61,AUS,1989,2,0.5391589020397904,1.526641499
62,AUS,1995,2,0.6547469151347295,1.526641499
63,AUS,2001,2,0.7516998237219874,1.526641499
64,AUS,2003,2,0.7952656761521054,1.526641499
65,AUS,2004,2,0.8139007806597863,1.526641499
66,AUS,2008,2,0.9242004532863299,1.526641499
67,AUS,2010,2,0.9680181314530385,1.526641499
68,AUS,2014,2,1.0684966003525578,1.526641499
69,AUT,2003,2,0.8471194260236332,0.847583846
70,AUT,2004,2,0.8645803040468595,0.847583846
71,AUT,2005,2,0.8844582341278561,0.847583846
72,AUT,2006,2,0.8972080692398768,0.847583846
73,AUT,2007,2,0.91666451838934,0.847583846
74,AUT,2008,2,0.9461440293266817,0.847583846
75,AUT,2009,2,0.9509344046109098,0.847583846
76,AUT,2010,2,0.9681799624596846,0.847583846
77,AUT,2011,2,1.0,0.847583846
78,AUT,2012,2,1.0248567382177207,0.847583846
79,AUT,2013,2,1.0453555142905746,0.847583846
80,AUT,2014,2,1.0621418455443017,0.847583846
81,AUT,2015,2,1.0716646110915078,0.847583846
82,AUT,2016,2,1.081219508465776,0.847583846
83,AZE,1995,2,1975.8477884229312,0.329418712
84,AZE,2001,2,2302.6748694931985,0.329418712
85,AZE,2002,2,2366.485720438006,0.329418712
86,AZE,2003,2,2419.3498527350757,0.329418712
87,AZE,2004,2,2581.662425614165,0.329418712
88,AZE,2005,2,2829.773900450665,0.329418712
89,AZE,2008,2,0.8642787272711323,0.329418712
90,BDI,1992,2,0.10612028405654399,487.3272763
91,BDI,1998,2,0.30245193973127016,487.3272763
92,BDI,2006,2,0.5746402023771997,487.3272763
93,BDI,2013,2,1.3034992464737982,487.3272763
94,BEL,2003,2,0.832133187552657,0.87901397
95,BEL,2004,2,0.8495853806260311,0.87901397
96,BEL,2005,2,0.8732159841628951,0.87901397
97,BEL,2006,2,0.888857144394129,0.87901397
98,BEL,2007,2,0.9050614521261618,0.87901397
99,BEL,2008,2,0.9456937012593147,0.87901397
100,BEL,2009,2,0.9451911278550424,0.87901397
101,BEL,2010,2,0.9658841824748232,0.87901397
102,BEL,2011,2,1.0,0.87901397
103,BEL,2012,2,1.0283966500903416,0.87901397
104,BEL,2013,2,1.0398436805115814,0.87901397
105,BEL,2014,2,1.0433791591357418,0.87901397
106,BEL,2015,2,1.0492370132489992,0.87901397
107,BEL,2016,2,1.0699473852808041,0.87901397
108,BEN,2003,2,0.7718535617823599,224.9172239
109,BEN,2011,2,1.022256571771708,224.9172239
110,BEN,2015,2,1.0690275838941876,224.9172239
111,BFA,1994,2,0.6142370146310085,222.2419664
112,BFA,1998,2,0.7391859990639196,222.2419664
113,BFA,2003,2,0.7981087284749017,222.2419664
114,BFA,2009,2,0.9806378800153955,222.2419664
115,BFA,2014,2,1.0410289519700455,222.2419664
116,BGD,1983,2,0.1482982039451599,24.849199295043945
117,BGD,1985,2,0.1806710958480835,24.849199295043945
118,BGD,1988,2,0.24029380083084106,24.849199295043945
119,BGD,1991,2,0.30504271388053894,24.849199295043945
120,BGD,1995,2,0.3540673851966858,24.849199295043945
121,BGD,2000,2,0.3934449851512909,24.849199295043945
122,BGD,2005,2,0.4951991140842438,24.849199295043945
123,BGD,2010,2,0.9200785160064697,24.849199295043945
124,BGD,2016,2,1.303657054901123,24.849199295043945
125,BGR,1989,2,0.2737835255138252,0.765068
126,BGR,1992,2,2.8428728558046736,0.765068
127,BGR,1994,2,9.635676943958302,0.765068
128,BGR,1995,2,15.615937477558164,0.765068
129,BGR,1997,2,0.40086784993401686,0.765068
130,BGR,2001,2,0.5779221278344249,0.765068
131,BGR,2003,2,0.6258621783940351,0.765068
132,BGR,2006,2,0.7484815682454081,0.765068
133,BGR,2007,2,0.811373035357687,0.765068
134,BGR,2008,2,0.9115671671018325,0.765068
135,BGR,2009,2,0.9366644727195449,0.765068
136,BGR,2010,2,0.9595096334190343,0.765068
137,BGR,2011,2,1.0,0.765068
138,BGR,2012,2,1.029545667005678,0.765068
139,BGR,2013,2,1.0387095872121799,0.765068
140,BGR,2014,2,1.023978809852865,0.765068
141,BGR,2015,2,1.0229073847586632,0.765068
142,BGR,2016,2,1.0147369265604567,0.765068
143,BIH,2001,2,0.7820536755493106,0.8669356519999999
144,BIH,2004,2,0.7910160207875844,0.8669356519999999
145,BIH,2007,2,0.8825966092544537,0.8669356519999999
146,BIH,2011,2,1.0,0.8669356519999999
147,BIH,2015,2,1.0000900032513032,0.8669356519999999
148,BLR,1988,2,3.4066725300575535e-11,1832.4347630000002
149,BLR,1993,2,1.2187297838256273e-05,1832.4347630000002
150,BLR,1995,2,0.0022893907480519807,1832.4347630000002
151,BLR,1998,2,0.009908095431177228,1832.4347630000002
152,BLR,1999,2,0.039006068240815865,1832.4347630000002
153,BLR,2000,2,0.10477818602994862,1832.4347630000002
154,BLR,2001,2,0.16883426362647425,1832.4347630000002
155,BLR,2002,2,0.24065223188696747,1832.4347630000002
156,BLR,2003,2,0.3089922561211934,1832.4347630000002
157,BLR,2004,2,0.3649453256105659,1832.4347630000002
158,BLR,2005,2,0.40256571004409886,1832.4347630000002
159,BLR,2006,2,0.4307337405830474,1832.4347630000002
160,BLR,2007,2,0.4670306580484597,1832.4347630000002
161,BLR,2008,2,0.5363280865676505,1832.4347630000002
162,BLR,2009,2,0.6057592534392565,1832.4347630000002
163,BLR,2010,2,0.6526192601550528,1832.4347630000002
164,BLR,2011,2,1.0,1832.4347630000002
165,BLR,2012,2,1.5921973081845482,1832.4347630000002
166,BLR,2013,2,1.8837647415912135,1832.4347630000002
167,BLR,2014,2,2.225094493166498,1832.4347630000002
168,BLR,2015,2,2.526249562338005,1832.4347630000002
169,BLR,2016,2,2.825271191105832,1832.4347630000002
170,BLR,2017,2,2.995686913239161,1832.4347630000002
171,BLZ,1993,2,0.6851234667218302,1.182611229
172,BLZ,1994,2,0.7027221673140722,1.182611229
173,BLZ,1995,2,0.7230330751373342,1.182611229
174,BLZ,1996,2,0.7694853701703175,1.182611229
175,BLZ,1997,2,0.777376820588258,1.182611229
176,BLZ,1998,2,0.7707955041717427,1.182611229
177,BLZ,1999,2,0.7614866573195118,1.182611229
178,BOL,1990,2,0.265536564094202,2.906105727
179,BOL,1992,2,0.3347675731647372,2.906105727
180,BOL,1997,2,0.501498267107994,2.906105727
181,BOL,1999,2,0.5527468261073165,2.906105727
182,BOL,2000,2,0.5741067951992616,2.906105727
183,BOL,2001,2,0.5803303832511206,2.906105727
184,BOL,2002,2,0.5935459037004277,2.906105727
185,BOL,2004,2,0.6395697220421764,2.906105727
186,BOL,2005,2,0.6749135557468888,2.906105727
