index,country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew,iso3,avg_prod_k
25,Bosnia and Herzegovina,poor,0.2,3506.175237,0.03455922,0.618866528,9737.869642,0.055942771,0.7,0.0,BIH,0.32393
26,Botswana,nonpoor,0.8,18517.006380000006,0.2164499,1.081842725,66226.86341,0.011393083,0.641600854,0.8,BWA,0.28118000000000004
27,Botswana,poor,0.2,2165.018449,0.08854125,0.6726291,6212.702247,0.013890101,0.7,0.8,BWA,0.28118000000000004
28,Brazil,nonpoor,0.8,17577.081140000002,0.1296786,1.203643899,66241.70538,0.00943013,0.650662885,0.2,BRA,0.26558000000000004
29,Brazil,poor,0.2,2467.086432,0.0636212,0.185424402,9062.767811,0.011496929,0.7,0.2,BRA,0.26558000000000004
30,Bulgaria,nonpoor,0.8,18361.20894,0.07025403,1.095655637,57967.12856000001,0.009758599,0.385776036,0.8,BGR,0.32308000000000003
31,Bulgaria,poor,0.2,5030.253203,0.01463466,0.617377453,11029.40653,0.011897387,0.7,0.8,BGR,0.32308000000000003
32,Burkina Faso,nonpoor,0.8,1901.098283,0.1070983,1.125968832,4767.43185,0.01899896,0.6734349000000001,0.6,BFA,0.40567
33,Burkina Faso,poor,0.2,547.8293509,0.0373907,0.496124672,1026.215403,0.012371416,0.7,0.6,BFA,0.40567
34,Burundi,nonpoor,0.8,850.0406523,0.05161891,1.126465744,1838.030743,0.028365057000000006,0.442447213,0.6,BDI,0.46298
35,Burundi,poor,0.2,334.6381478,0.00542796,0.494137025,714.7617769,0.034581816,0.7,0.6,BDI,0.46298
36,Cambodia,nonpoor,0.8,3348.627251000001,0.0120755,1.150272473,7288.478,0.455387639,0.203853277,0.0,KHM,0.45929
37,Cambodia,poor,0.2,1323.114338,0.002184594,0.398910107,2890.070575,0.321450098,0.7,0.0,KHM,0.45929
38,Cameroon,nonpoor,0.8,3206.744505,0.1015309,0.932542409,7700.3940189999985,0.07087400599999999,0.3,0.8,CMR,0.41973999999999995
39,Cameroon,poor,0.2,869.7417025000002,0.09631175,1.269830366,1830.050332,0.10807307,0.634368096,0.8,CMR,0.41973999999999995
40,Canada,nonpoor,0.8,48655.07714,0.6416324999999999,0.929738478,151156.848,0.013469172,0.278489152,0.8,CAN,0.33548
41,Canada,poor,0.2,14874.10324,0.3688955,1.281046088,19827.06216,0.016421206,0.392719849,0.8,CAN,0.33548
42,Central African Republic,nonpoor,0.8,705.8530933999998,0.03726327,1.25,2237.1833890000007,0.044801319000000006,0.634820555,0.0,CAF,0.31474
43,Central African Republic,poor,0.2,98.46734657,0.006212666,0.0,334.6245682,0.055356603,0.7,0.0,CAF,0.31474
44,Chad,nonpoor,0.8,2403.674637,0.08138166,1.25,3180.097744,0.033453993,0.6734349000000001,0.0,TCD,0.7532
45,Chad,poor,0.2,493.2688069,0.0492537,0.0,699.6223132,0.040786093,0.7,0.0,TCD,0.7532
46,Chile,nonpoor,0.8,25915.69666,0.1605431,1.101807265,75779.32065,0.08855299999999999,0.11529375,0.8,CHL,0.34739000000000003
47,Chile,poor,0.2,4907.371132,0.07033718,0.592770939,9410.057657,0.10796113,0.313141,0.8,CHL,0.34739000000000003
48,China,nonpoor,0.8,13732.96276,0.4205326,1.116629825,60564.20414,0.009358128,0.5370080660000001,0.8,CHN,0.22921999999999998
49,China,poor,0.2,2690.986513,0.17047620000000002,0.533480699,9133.759233,0.011409145,0.7,0.8,CHN,0.22921999999999998
50,Colombia,nonpoor,0.8,14535.68457,0.1365075,1.192808533,52020.64089,0.038272805,0.22260120000000005,0.8,COL,0.27978000000000003
51,Colombia,poor,0.2,1984.188586,0.02795298,0.228765867,6825.888238,0.119313087,0.5302352,0.8,COL,0.27978000000000003
52,"Congo, Dem. Rep.",nonpoor,0.8,925.5187155,0.01915755,1.219639002,3900.437177,0.064161677,0.6,0.4,COD,0.23706
