ISO,RCP85_2030_SSP4_RP100_GFDL,RCP85_2030_SSP5_RP100_GFDL,RCP85_2030_SSP4_RP100_hadGEM,RCP85_2030_SSP5_RP100_hadGEM,RCP85_2030_SSP4_RP100_IPSL,RCP85_2030_SSP5_RP100_IPSL,RCP85_2030_SSP4_RP100_MIROC,RCP85_2030_SSP5_RP100_MIROC,RCP85_2030_SSP4_RP100_NorESM,RCP85_2030_SSP5_RP100_NorESM,max_SSP4,max_SSP5,min_SSP4,min_SSP5,wbregion,tot_pop_ssp4,tot_pop_ssp5,max_SSP4_region,max_SSP5_region,min_SSP4_region,min_SSP5_region
AFG,23347258.640000004,15451892.080000002,2481876.749999999,1164275.72000001,39166427.26,30986808.880000003,39082435.769999996,31184540.689999998,30760118.44,23285408.16,0.7101401155711183,0.6692824235120504,0.04499977060400048,0.024987678454655608,SAS,55153097.82,46593993.2,0.1705648639874173,0.15314798024090653,-0.3446286968782827,-0.3620236354666627
ALB,0.0,0.0,0.0,0.0,463517.0,452385.0,0.0,0.0,0.0,0.0,0.14371857639977256,0.1437186972109345,0.0,0.0,ECA,3225171.106,3147711.5280000004,0.2596675584329898,0.25867633383976757,-0.08670699346489576,-0.08620112967829673
DZA,19621540.664965004,18974415.756076,24482523.471965,23978829.898075998,23725330.433965,23067189.160076004,17082783.899965,16529691.146076001,28586572.674376998,28058347.171488,0.6593341914972076,0.6580696827699422,0.3940053828593639,0.3876810184969454,MNA,43356727.20000001,42637349.67,0.5194129906253099,0.5033613678305945,0.11660250888522931,0.10009664927413231
AGO,6711796.96969999,5848482.77309998,397935.8900000099,-269405.1900000097,5875781.918799961,4854091.4131999705,3238746.7800000003,2764440.4,3911762.7397000003,3448481.8731,0.19959942750844792,0.1948588322615161,0.01183405519976821,-0.00897599989009942,SSA,33626333.77,30013947.56,0.3412686284507667,0.3138282582420754,-0.10099571710812388,-0.12731818830540712
ARG,6713054.7568459995,6460482.122644,-1010741.7531109999,-1035534.2310019999,5823612.746305,5411393.725942999,4559364.301026002,4303388.619844001,1479348.3141259998,1354375.9880440002,0.14911994515283872,0.14599147820591807,-0.022452037149539073,-0.02340060234621304,LAC,45017819.379999995,44252460.5,0.333916679968369,0.30806970453057436,-0.0548451852367966,-0.08098049724679462
ARM,211048.4,203391.5,0.0,0.0,0.0,0.0,102825.0,99094.2,0.0,0.0,0.07412488294391949,0.07412508467864733,0.0,0.0,ECA,2847200.449,2743895.685,0.2596675584329898,0.25867633383976757,-0.08670699346489576,-0.08620112967829673
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YHI,135132.81399999998,143132.202,0.17866857783198742,0.1809183490848196,-0.01952914708671649,-0.015371747782669047
AUS,7965637.81836,9432823.657219999,9274586.6465,10500529.43379,8005929.646500001,9069525.2701,2155732.24675,2424291.3126,1087494.87345,1433570.2469,0.3202235209695227,0.32468789195368375,0.03754791999747851,0.044327565040259254,YHI,28962852.63,32340378.85,0.17866857783198742,0.1809183490848196,-0.01952914708671649,-0.015371747782669047
AUT,0.0,0.0,1316798.8,1383921.1,0.0,0.0,0.0,0.0,0.0,0.0,0.14990936508299033,0.14571812026276051,0.0,0.0,YHI,8783966.227,9497247.82,0.17866857783198742,0.1809183490848196,-0.01952914708671649,-0.015371747782669047
AZE,1770701.2999999998,1811172.7999999998,0.0,0.0,1437152.6,1461327.2999999998,2200764.9,2242530.0,484121.6,492727.30000000005,0.21307544723124996,0.21440362548286424,0.0,0.0,ECA,10328571.07,10459384.7,0.2596675584329898,0.25867633383976757,-0.08670699346489576,-0.08620112967829673
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YHI,414556.989,424372.14400000003,0.17866857783198742,0.1809183490848196,-0.01952914708671649,-0.015371747782669047
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YHI,2305982.877,2523500.359,0.17866857783198742,0.1809183490848196,-0.01952914708671649,-0.015371747782669047
