children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7891.12771987915,1578.22554397583,154.2997101375035,30.859942027500697,101.0,5.0
3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3621.643890380859,603.6073150634767,190.7479305267334,31.79132175445557,9308.0,6.0
3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7102.517028808594,1775.6292572021484,127.30952671595982,31.827381678989955,10612.0,4.0
3.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2608.340148925781,521.6680297851561,168.70838165283206,33.74167633056641,18306.0,5.0
3.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3647.3854980468745,607.8975830078124,192.3039722442627,32.05066204071045,7404.0,6.0
3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2410.787292480469,401.7978820800781,186.5159912109375,31.08599853515625,9301.0,6.0
3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4271.607421875,711.9345703125,201.2434234619141,33.54057057698568,5710.0,6.0
3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6265.234619140625,783.1543273925781,246.30496978759768,30.78812122344971,21611.0,8.0
3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49548.81401062012,9909.762802124023,158.248929977417,31.6497859954834,7707.0,5.0
3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3117.348907470703,346.3721008300781,261.799409866333,29.088823318481445,30709.0,9.0
3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24624.53807067871,3517.7911529541016,217.00178909301758,31.0002555847168,8206.0,7.0
3.0,0.0,4.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,3158.8214111328125,315.88214111328125,340.8465576171875,34.08465576171875,31907.0,10.0
3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3541.654518127441,505.9506454467773,206.8113555908203,29.54447937011719,28204.0,7.0
3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41123.141830444336,6853.856971740723,190.47360376211316,31.745600627018856,5202.0,6.0
3.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2114.20849609375,302.02978515625,215.41777420043945,30.773967742919922,45205.0,7.0
3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1899.5913391113281,211.06570434570312,310.05937957763666,34.45104217529297,42803.0,9.0
3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8608.610107421875,1076.0762634277344,256.8514801025391,32.106435012817386,4705.0,8.0
3.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,3829.314239501953,348.1194763183594,329.4579601287842,29.95072364807129,18709.0,11.0
3.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5071.05436706543,563.4504852294923,282.5856456756592,31.39840507507324,40505.0,9.0
