,country,year,scenar,ssp,ccint,switch_ag_rev,switch_temp,switch_ag_prices,switch_disasters,switch_health,avg_income_bott20,avg_income,avg_income_urban,avg_income_bott20_urban,avg_income_bott20_rural,avg_income_rural,GDP,incQ2,incQ3,incQ4,incQ5,quintilecum1,quintilecum2,quintilepc1,quintilepc2,gini,tot_pop,pop_190,pop_320,pop_550,pop_1000,pop_190_urban,pop_320_urban,pop_550_urban,pop_190_rural,pop_320_rural,pop_550_rural,pop_190_service,pop_190_agricul,pop_190_manufac,pop_320_service,pop_320_agricul,pop_320_manufac,pop_550_service,pop_550_agricul,pop_550_manufac,gap_190,gap_320,gap_550,gap_190_service,gap_190_agricul,gap_190_manufac,gap_320_service,gap_320_agricul,gap_320_manufac,gap_550_service,gap_550_agricul,gap_550_manufac,decent_jobs_urban,decent_jobs_rural,decent_jobs_service,decent_jobs_agricul,decent_jobs_manufac,working_poor_urban,working_poor_rural,working_poor_service,working_poor_agricul,working_poor_manufac,ppl_in_hh_working_poor_urban,ppl_in_hh_working_poor_rural,pop_sv_unskilled,pop_sv_skilled,pop_ag_unskilled,pop_ag_skilled,pop_mn_unskilled,pop_mn_skilled,pop_sv_unskilled_urban,pop_sv_skilled_urban,pop_ag_unskilled_urban,pop_ag_skilled_urban,pop_mn_unskilled_urban,pop_mn_skilled_urban,pop_sv_unskilled_rural,pop_sv_skilled_rural,pop_ag_unskilled_rural,pop_ag_skilled_rural,pop_mn_unskilled_rural,pop_mn_skilled_rural,unemployed,unemployed_rural,sv_income_pc,sv_unskilled_income_pc,sv_skilled_income_pc,ag_income_pc,ag_unskilled_income_pc,ag_skilled_income_pc,mn_income_pc,mn_unskilled_income_pc,mn_skilled_income_pc,nonag_income_pc,gap_190_urban,gap_320_urban,gap_550_urban,gap_190_rural,gap_320_rural,gap_550_rural,childrenag,childrenonag,peopleag,peoplenonag,avg_income_ag,avg_income_nonag,fa20_earthquake,fa20_wind,fa20_surge,fa20_tsunami,fa20_riverflood,shareag,sharemanu,shareemp,shareurban,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,voice,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,flood_share_poor,flood_share_nonpoor,drought_share,wind_share,surge_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
0,NIC,2030,4,ssp4,0,True,True,True,True,True,3.401297709875851,10.769041377124918,12.095170835813207,3.56930491774468,3.138254023572074,8.380074489832161,71148188.92373537,5.574450004887448,7.271306034479923,10.119770218127554,24.49438814956602,4.884100723845248,6.348311558340314,0.005436283618181742,0.007066034072399024,0.41559558083782877,6606733.731644032,120419.31285950479,6573591.767169863,6603545.7550359,6606733.731402223,4196240.719673172,4215272.248629021,4245226.236339221,2358284.4998219465,2358319.518540841,2358319.5186966765,891805.6726674947,921903.0518159615,985170.3187651787,898984.84489474,921903.0519682596,991089.7933665412,898984.84489474,921903.0521033513,1020600.3804295541,0.8163150453346704,0.888610293139036,0.9347691808165028,0.7976229358084979,0.860486608461122,0.8360695935774518,0.879304627252147,0.91716392361088,0.8979334404711268,0.9297772376739806,0.9518044645875444,0.9401157382091984,42609.23327920683,0.001480862045044906,7179.172227244861,0.00036646090888410284,35430.06216636311,1551254.7477423984,1247624.2955062364,891805.6726674945,921903.0518159618,985170.3187651789,195060228.2709375,147915973.3451788,205868.91599156643,693115.9289031728,891748.0530539392,30154.99912848326,761697.1820380222,258903.19889351973,113233.61113343883,619826.5711763476,44381.227451597144,10833.49317843004,555727.2739516943,249861.80413009782,92635.30485812761,73289.35772682559,847366.8256023421,19321.505950053208,205969.90808632795,9041.394763421904,1572181.3058502465,515828.64122116985,2.8055476461932276,2.0390727830991158,2.907103113895983,1.5733952758218401,1.3221349134996563,1.6508886686093822,4.126720855878511,2.6252819844344253,4.213156550744872,4.500898173113007,0.795961344066375,0.8752337607807724,0.9267520707428122,0.8529813889146689,0.9127075580488574,0.949211670101642,323803.43622465135,1322685.786775082,1947728.6369636883,4659005.0946805095,7.952263352200012,11.946614509504569,2.8499999999999996,0.05,0.0,0.0,3.4521139388400295,0.324443728890217,0.35917810543501116,0.6437927044928724,0.67420520310076,0.02676590611226417,0.004594381047620579,0.01485670799953609,1.7225989705491345,0.9130147967857173,1.6379825153287226,0.18091360796782469,0.0,0.3466187526249289,0.003884662468835121,0.0018080835960303519,0.8266906236875355,0.0,0.01,0.0,0.0,0.0,0.0,-0.001968999999999994,0.013225337682901237,0.0018575326197797786,0.0018575326197797786,0.00032789074257016183,2.0707799e-05,1.09014885e-05,0.015877097343414803,-0.006193805558697418,0.0039880827417042575
1,NIC,2030,4,ssp4,1,True,True,True,True,True,3.272270739022918,10.570357112559476,11.855928211007212,3.3671042963542,3.061431475971292,8.254454418949127,69835534.89108372,5.490911991333009,7.139909391464535,9.940558042897061,24.079194673776485,4.7883315311385175,6.218384882782508,0.005261356165954787,0.006832680116768911,0.4182906857891825,6606733.731643416,169124.3532228459,6573650.711481878,6603545.789735127,6606733.731402384,4205667.336733578,4215331.192940681,4245226.271038422,2358284.569410879,2358319.518541197,2358319.518696706,898076.5898320712,921903.0518178745,988313.939099231,898984.8448947394,921903.0519693221,991148.328272147,898984.8448947394,921903.0521035646,1020600.3804305812,0.819569392447611,0.8905770966024629,0.9359682416862586,0.8014884394222378,0.8623147185542813,0.8393340897986467,0.8816593543074114,0.9182493639815674,0.899943068969433,0.9311472606879571,0.9524359935320572,0.9414089560788532,33194.69578142279,0.0014781041521460866,908.2550626682262,0.00036454781777710396,32286.441832310895,1560669.2852401827,1247624.2955089947,898076.589832071,921903.0518178745,988313.939099231,195190504.59006536,147923469.80833507,205868.9159915664,693115.9289031732,891748.0530539394,30154.999128483247,761697.1820380217,258903.1988935198,113233.61113343878,619826.5711763477,44381.22745159713,10833.493178430042,555727.2739516943,249861.80413009782,92635.30485812761,73289.35772682559,847366.8256023423,19321.505950053204,205969.90808632795,9041.39476342191,1572181.3058502462,515828.64122116985,2.3075022617786383,1.781987365068142,2.3774068731168883,1.3562604599906396,1.1940790075638286,1.3991429562556432,3.3472777499245874,2.2135734824812627,3.409232024927971,3.6954060400523026,0.7997989247307202,0.8775659688037404,0.9281941164865773,0.8551850651201359,0.914016100444685,0.9499730038593884,323803.43622464867,1322685.786775023,1947728.636963716,4659005.094680285,7.848061076212542,11.708431409653299,2.8499999999999996,0.05,0.0,0.0,3.4521139388400295,0.324443728890217,0.35917810543501116,0.6437927044928724,0.67420520310076,0.02676590611226417,0.004594381047620579,0.01485670799953609,1.7225989705491345,0.9130147967857173,1.6379825153287226,0.18091360796782469,0.0,0.3466187526249289,0.026098366644653703,0.033225948836151716,0.8266906236875355,1.0,0.03,1.0,1.0,1.0,1.0,-0.001968999999999994,0.013225337682901237,0.003715065239559557,0.003715065239559557,0.0006557814851403237,0.00010353899499999999,5.45074425e-05,0.01555440789256135,-0.005704995087254083,0.003454467757167956
2,NIC,2030,4,ssp5,0,True,True,True,True,True,5.097650988056906,15.528705404097808,17.80531193155647,5.5569541786291605,4.770746907760918,11.88388065611588,93269084.58951358,8.571819753818373,11.19948144644644,16.166666880269805,32.9992078428112,7.17734776594835,10.150218873826052,0.005440973646009213,0.007694635287944092,0.3851347460236195,6006236.976127546,22414.976832482032,5983255.484657771,6000399.79191744,6004909.351362286,3561335.598581199,3674120.942745954,3691216.6262172293,2295130.4126402084,2309134.541911817,2309183.1657002117,797933.9700384157,850086.8489138964,915275.7690493942,830797.0480331831,852631.983404775,934039.7931966315,831871.7043150658,852918.6638947349,943753.2265393587,0.7361787920899028,0.8404481104178999,0.9062390371210193,0.7092376224650675,0.8018029864975844,0.7172931677610997,0.8249802183414717,0.8819964297064888,0.8275108051469815,0.8979316094747135,0.9312034801410569,0.8983269227292876,55290.50326558611,10771.694573585353,33937.73427665004,2992.119747473842,29132.343815047585,1468012.2040695932,1095284.3839321127,797933.9700384157,850086.8489138962,915275.7690493941,194916590.4320319,147878727.2330432,79459.39404821416,752412.3102668514,659541.3865682266,193537.58209314395,251809.2556040888,692598.8572603529,39375.42390473859,566420.7991399266,34257.11358439054,68121.79552853869,189499.45155721233,625628.1236203732,40083.97014347557,185991.51112692538,625284.2729838359,125415.7865646052,62309.8040468764,66970.73363997968,1454811.11487472,498117.24309546343,3.291235816156684,2.3900093259499164,3.4101192289982727,1.8139518377904391,1.5260629083134158,1.901855186027964,4.787674897217351,3.0556335643768797,4.887178573922599,5.205149132368187,0.70040353232018,0.8180051886547955,0.8926076434661712,0.7934546325134727,0.8763790083013138,0.9280627648240517,522151.0325204105,840455.1854794427,2403653.4719088622,3602583.504219788,11.373748762451314,18.30090372944565,2.8499999999999996,0.05,0.0,0.0,3.4521139388400295,0.324443728890217,0.35917810543501116,0.6437927044928724,0.67420520310076,0.04612392477447926,0.023952399709835672,0.03421472666175118,1.7225989705491345,0.9130147967857173,1.6379825153287226,0.18091360796782469,0.0,0.3466187526249289,-9.463840814027956e-05,-0.001942962010645477,0.8266906236875355,0.0,0.01,0.0,0.0,0.0,0.0,-0.001968999999999994,0.013225337682901237,0.0018575326197797786,0.0018575326197797786,0.00032789074257016183,2.0707799e-05,1.09014885e-05,0.035029825040959306,0.013102856557246634,0.02313878637223543
3,NIC,2030,4,ssp5,1,True,True,True,True,True,4.993002659322365,15.234111911901735,17.394066769675387,5.390677920746914,4.758221909492603,11.77604534432261,91499686.26375845,8.451893322092042,10.990253475198699,15.878957911500489,32.309626761077055,7.090709238731361,9.995708812937643,0.0054453632080804825,0.007676279364459584,0.3856493002792363,6006236.976127796,53666.19002961413,5983302.525546372,6000400.739129587,6004912.035779055,3591143.726130089,3674167.9615352293,3691217.5733228894,2295287.8758938955,2309134.564011144,2309183.1658066995,797999.9414088229,850093.3668095205,917188.6020636539,830799.183579042,852632.8407024421,934070.0758986082,831871.7043150656,852918.7367359427,943753.608648045,0.7407475349801523,0.8434074785001999,0.908007203528774,0.7153408314294873,0.8030133106689339,0.7237032342356171,0.8288462321218549,0.8827208196918899,0.8315584035394781,0.9002179634172829,0.931623590023734,0.9007831364075906,53375.53148520034,10701.344073680062,33871.76290624275,2985.6018518498076,27219.510800787848,1469927.175849979,1095354.7344320181,797999.9414088231,850093.3668095205,917188.6020636539,195077408.08269683,147893700.14209756,79459.39404821418,752412.3102668516,659541.3865682263,193537.58209314386,251809.2556040888,692598.857260353,39375.42390473858,566420.7991399263,34257.11358439054,68121.79552853867,189499.4515572124,625628.1236203733,40083.97014347557,185991.5111269254,625284.2729838357,125415.78656460522,62309.80404687639,66970.73363997966,1454811.11487472,498117.2430954633,2.670940571376156,2.0533192754147787,2.7526564032542034,1.5385196750299008,1.3499585962432634,1.5887517734633425,3.839363849337603,2.5398172780524666,3.9108978769832343,4.222490648014751,0.7067412249421944,0.8221122338442826,0.8950728636119046,0.7951913042124841,0.8775009565781562,0.9287149550260084,522151.03252041095,840455.1854794509,2403653.4719088115,3602583.504219806,11.305365266489146,17.85538231505397,2.8499999999999996,0.05,0.0,0.0,3.4521139388400295,0.324443728890217,0.35917810543501116,0.6437927044928724,0.67420520310076,0.04612392477447926,0.023952399709835672,0.03421472666175118,1.7225989705491345,0.9130147967857173,1.6379825153287226,0.18091360796782469,0.0,0.3466187526249289,0.033184532650126775,0.07342501520411271,0.8266906236875355,1.0,0.03,1.0,1.0,1.0,1.0,-0.001968999999999994,0.013225337682901237,0.003715065239559557,0.003715065239559557,0.0006557814851403237,0.00010353899499999999,5.45074425e-05,0.03470105179985272,0.015466451087221778,0.02259499287801603
