,country,year,scenar,ssp,ccint,switch_ag_rev,switch_temp,switch_ag_prices,switch_disasters,switch_health,avg_income_bott20,avg_income,avg_income_urban,avg_income_bott20_urban,avg_income_bott20_rural,avg_income_rural,GDP,incQ2,incQ3,incQ4,incQ5,quintilecum1,quintilecum2,quintilepc1,quintilepc2,gini,tot_pop,pop_190,pop_320,pop_550,pop_1000,pop_190_urban,pop_320_urban,pop_550_urban,pop_190_rural,pop_320_rural,pop_550_rural,pop_190_service,pop_190_agricul,pop_190_manufac,pop_320_service,pop_320_agricul,pop_320_manufac,pop_550_service,pop_550_agricul,pop_550_manufac,gap_190,gap_320,gap_550,gap_190_service,gap_190_agricul,gap_190_manufac,gap_320_service,gap_320_agricul,gap_320_manufac,gap_550_service,gap_550_agricul,gap_550_manufac,decent_jobs_urban,decent_jobs_rural,decent_jobs_service,decent_jobs_agricul,decent_jobs_manufac,working_poor_urban,working_poor_rural,working_poor_service,working_poor_agricul,working_poor_manufac,ppl_in_hh_working_poor_urban,ppl_in_hh_working_poor_rural,pop_sv_unskilled,pop_sv_skilled,pop_ag_unskilled,pop_ag_skilled,pop_mn_unskilled,pop_mn_skilled,pop_sv_unskilled_urban,pop_sv_skilled_urban,pop_ag_unskilled_urban,pop_ag_skilled_urban,pop_mn_unskilled_urban,pop_mn_skilled_urban,pop_sv_unskilled_rural,pop_sv_skilled_rural,pop_ag_unskilled_rural,pop_ag_skilled_rural,pop_mn_unskilled_rural,pop_mn_skilled_rural,unemployed,unemployed_rural,sv_income_pc,sv_unskilled_income_pc,sv_skilled_income_pc,ag_income_pc,ag_unskilled_income_pc,ag_skilled_income_pc,mn_income_pc,mn_unskilled_income_pc,mn_skilled_income_pc,nonag_income_pc,gap_190_urban,gap_320_urban,gap_550_urban,gap_190_rural,gap_320_rural,gap_550_rural,childrenag,childrenonag,peopleag,peoplenonag,avg_income_ag,avg_income_nonag,fa20_earthquake,fa20_wind,fa20_surge,fa20_tsunami,fa20_riverflood,shareag,sharemanu,shareemp,shareurban,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,voice,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,flood_share_poor,flood_share_nonpoor,drought_share,wind_share,surge_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
0,CIV,2030,4,ssp4,0,True,True,True,True,True,1.410778897482445,6.195148515772548,6.491010978071033,1.622053390244588,1.1136465818372232,5.579835476110057,177089336.14971775,2.8333135033404937,4.318166046553886,6.702707835617557,14.62620166210483,2.226501352443654,3.5417920301967523,0.029729849371951368,0.04729255764833048,0.444379399974308,28585163.971267957,4341400.857883476,28585163.971268304,28585163.971268304,28585163.971268304,19273018.239344373,19303442.74462847,19303442.74462847,9280244.222455978,9281721.226639833,9281721.226639833,3886654.437526874,3587984.1724954187,2608428.785930179,3917130.9644873287,3587984.1724954187,2608717.736282862,3917130.9644873287,3587984.1724954187,2608717.736282862,0.8914078362596798,0.935467202960706,0.9624536453589619,0.8820727098986044,0.9258500965378176,0.8961681977319113,0.9298421984007111,0.9559734948193268,0.9383474046095632,0.9591809154331428,0.9743845788039697,0.9641293990455666,29577.423481965106,1188.0538311719488,30476.52696045423,0.0,288.95035268282606,5924950.305669129,4158117.090283343,3886654.4375268742,3587984.1724954187,2608428.7859301786,70984146.36976624,68588161.15497589,3059430.1213718667,857700.8431154619,3215343.583977134,372640.5885182856,1805299.972701232,803417.7635816301,2206181.6657349397,728907.2251779243,581106.1461092024,148155.66012109665,1560430.3696346036,729746.6623733275,853248.4556369272,128793.61793753762,2634237.437867931,224484.92839718895,244869.60306662816,73671.10120830231,6059026.338537363,1023596.2621946692,2.8908968216672624,2.4504681481706343,3.3952693280430015,1.5153461445596454,1.3730470199072067,1.7243902130154312,3.2226942083758305,2.342786021349243,3.8793945536530776,2.933817943009491,0.8862462151460946,0.9323853023117659,0.9606605395268453,0.902142597108703,0.9418767137905111,0.9661828152962989,3244546.960456386,8005010.840544006,8026214.251314556,20558949.71995355,4.226544497344344,6.963691551439794,0.0,0.0,0.0,0.0,5.2659066786739155,0.3547600813321454,0.2579356182466022,0.6253583699264087,0.6233896869011972,0.04295604398019872,0.02078451891555513,0.03104684586747064,1.9694818731434376,2.1605362431086186,1.6338903647326073,0.18091360796782469,0.0,0.3466187526249289,0.00740651524755931,-0.006618363337021149,0.8266906236875355,0.0,0.01,0.0,0.0,0.0,0.0,0.00011019189189190875,0.017019717310472884,0.002154978113753605,0.002154978113753605,0.0,0.0,0.0,0.0318955394877809,0.009400416327161931,0.020004832051458976
1,CIV,2030,4,ssp4,1,True,True,True,True,True,1.2477226992904378,5.735291797551131,5.994827779933256,1.4349217450615737,1.0009406837522994,5.1955279052996595,163944256.45606926,2.61976654354162,3.9986317349496465,6.212368220857742,13.575961725140251,2.063327028523631,3.2658332736675946,0.029744023565076178,0.047078829729228396,0.4473455254224473,28585163.97126834,5014958.321210219,28585163.97126831,28585163.97126831,28585163.97126831,19300939.250281777,19303442.744628467,19303442.744628467,9280824.064894056,9281721.226639835,9281721.226639835,3914575.5608119597,3587984.172495419,2608717.736282861,3917130.9644873287,3587984.172495419,2608717.736282861,3917130.9644873287,3587984.172495419,2608717.736282861,0.8993918972635356,0.940257377108836,0.9652406557724145,0.8909919062252338,0.9306016715009556,0.9044530999965814,0.935260048821929,0.9587947424536971,0.943269028122971,0.9623331193145815,0.9760260319730604,0.9669928890897284,1658.2419295893365,897.1617457794869,2555.4036753688233,0.0,0.0,5952869.487221505,4158407.9823687356,3914575.5608119606,3587984.1724954187,2608717.736282862,71003487.19081116,68588852.71546173,3059430.1213718676,857700.8431154619,3215343.583977134,372640.58851828554,1805299.9727012324,803417.7635816297,2206181.6657349393,728907.2251779243,581106.1461092024,148155.6601210967,1560430.369634604,729746.6623733278,853248.4556369272,128793.61793753764,2634237.437867931,224484.92839718895,244869.6030666282,73671.1012083023,6059026.338537363,1023596.2621946693,1.895570360975048,1.5622822289646612,2.293076510305596,0.8485666361431464,0.7493452957923185,0.9958131283301621,2.1227019491654837,1.432721079055333,2.6439882545841753,1.8868474894868787,0.8948338625456592,0.9375538772923596,0.9636677104246402,0.908871363415979,0.9458799176531351,0.9685119520891003,3244546.9604563946,8005010.840544073,8026214.251314548,20558949.719953828,3.955704724445434,6.430042615184254,0.0,0.0,0.0,0.0,5.2659066786739155,0.3547600813321454,0.2579356182466022,0.6253583699264087,0.6233896869011972,0.04295604398019872,0.02078451891555513,0.03104684586747064,1.9694818731434376,2.1605362431086186,1.6338903647326073,0.18091360796782469,0.0,0.3466187526249289,0.12861391907864014,0.029911478743136488,0.8266906236875355,1.0,0.03,1.0,1.0,1.0,1.0,0.00011019189189190875,0.017019717310472884,0.00430995622750721,0.00430995622750721,0.0,0.0,0.0,0.03156776184041976,0.01012598973959844,0.01946270423934804
2,CIV,2030,4,ssp5,0,True,True,True,True,True,2.2324958736958047,10.48937080931746,12.170309863600284,2.845844683096478,1.7682771728401765,8.276514304106493,250221398.68286505,4.700157984196375,7.348350342436314,11.567245420681687,24.51883919898007,3.6546141190690222,5.941073914202528,0.0325935383315912,0.05298524387102864,0.4472096987548304,23854757.661975317,1477007.171106605,23850413.858489342,23854757.661975235,23854757.661975235,13414939.870306468,13554142.588137953,13556735.289768403,10288491.508004168,10296271.270351391,10298022.372206833,3780816.4797240435,3515419.9527626964,2483864.7165784314,3834259.6728464602,3515419.9527626964,2555958.4256576113,3837910.0048311898,3515419.9527626964,2555958.4256576113,0.8180629199732692,0.8907646083768588,0.9364280557010951,0.7879489875189702,0.8804137722033143,0.8010431883705791,0.8719815549778848,0.9289956772457209,0.8798924072023256,0.9254743486303765,0.9586883940338721,0.9301192187359031,124111.41751093882,5075.816675387426,57093.52510714638,0.0,72093.70907917988,5282130.278614645,4497970.8704505265,3780816.479724043,3515419.952762697,2483864.716578431,70899873.54111099,68583117.55640411,1610405.6712922992,2227504.3335388894,2180079.8799260203,1335340.0728366764,886656.1857756529,1669302.2398819579,1018428.5741338967,1654244.2216142982,389316.09606107086,236998.17593822943,657713.6376445573,1449540.9907335304,591977.0971584023,573260.111924592,1790763.7838649491,1098341.8968984468,228942.5481310955,219761.24914842742,5936487.190955234,1912989.0960285128,3.964365607981306,3.3847106903804116,4.61718028723182,2.119160700773207,1.940311771719685,2.387201477160901,4.368136006924856,3.243520328557895,5.193672545841576,3.910214697957447,0.7899410040654823,0.8732580665363681,0.9262405462812068,0.8550837532967601,0.9138109317380531,0.949839307247834,2291523.594253048,4350192.859746923,7327705.1844450515,16527052.477530168,6.816414984411221,12.117872774625267,0.0,0.0,0.0,0.0,5.2659066786739155,0.3547600813321454,0.2579356182466022,0.6253583699264087,0.6233896869011972,0.06403377922730837,0.04186225416266478,0.052124581114580286,1.9694818731434376,2.1605362431086186,1.6338903647326073,0.18091360796782469,0.0,0.3466187526249289,0.002272057870557065,-0.01103340941786102,0.8266906236875355,0.0,0.01,0.0,0.0,0.0,0.0,0.00011019189189190875,0.017019717310472884,0.002154978113753605,0.002154978113753605,0.0,0.0,0.0,0.052749746248971885,0.03004374218963024,0.0408568349327294
3,CIV,2030,4,ssp5,1,True,True,True,True,True,2.0401381467583386,10.033313787382076,11.667612077747844,2.616512782320328,1.6304601090918998,7.881857079849026,239342268.94455433,4.475321482053394,7.028452106369967,11.085872727001705,23.526907208983665,3.467396156201063,5.652982041371422,0.031870079053026794,0.05195858114500402,0.45081416341170455,23854757.661975373,1716012.4939713883,23850423.23950667,23854757.661975235,23854757.661975235,13416394.915373111,13554148.187419549,13556735.289768402,10288512.09116419,10296275.052087123,10298022.372206831,3781213.909719421,3515419.952762697,2484020.4124648636,3834267.5562204937,3515419.952762697,2555958.425657611,3837910.00483119,3515419.952762697,2555958.425657611,0.8257533979160017,0.895508889362426,0.9391920376522228,0.7962087089450411,0.8871276389122389,0.8090194504060702,0.8771298707882695,0.9329820356041377,0.8850031288296426,0.9284789529484461,0.9610077298060474,0.9330927295008828,123569.25352562078,5064.854778895515,56696.09511176902,0.0,71938.01319274725,5282672.4425999615,4497981.832347018,3781213.909719421,3515419.952762697,2484020.412464863,70901225.94803238,68583117.55640411,1610405.6712922994,2227504.333538891,2180079.87992602,1335340.0728366764,886656.1857756529,1669302.2398819583,1018428.5741338969,1654244.2216142984,389316.0960610708,236998.17593822943,657713.6376445573,1449540.9907335304,591977.0971584026,573260.1119245924,1790763.7838649496,1098341.8968984468,228942.5481310955,219761.24914842748,5936487.190955232,1912989.0960285128,2.73998983217853,2.2896603858163433,3.2673128156814397,1.269352433138507,1.1394984999574813,1.464044717736787,3.0157418572491514,2.114088832592826,3.685684633405446,2.6406319564567324,0.7982458187771495,0.8784878146148564,0.9292871995287942,0.8619654933426352,0.9179161241071503,0.9522311692130442,2291523.5942530213,4350192.859747033,7327705.184445081,16527052.47753009,6.433724582001982,11.629286724359034,0.0,0.0,0.0,0.0,5.2659066786739155,0.3547600813321454,0.2579356182466022,0.6253583699264087,0.6233896869011972,0.06403377922730837,0.04186225416266478,0.052124581114580286,1.9694818731434376,2.1605362431086186,1.6338903647326073,0.18091360796782469,0.0,0.3466187526249289,0.053309381168431764,-0.029004767004074394,0.8266906236875355,1.0,0.03,1.0,1.0,1.0,1.0,0.00011019189189190875,0.017019717310472884,0.00430995622750721,0.00430995622750721,0.0,0.0,0.0,0.05241534434308037,0.028344620346634875,0.04030362437831658
