,country,year,scenar,ssp,ccint,switch_ag_rev,switch_temp,switch_ag_prices,switch_disasters,switch_health,avg_income_bott20,avg_income,avg_income_urban,avg_income_bott20_urban,avg_income_bott20_rural,avg_income_rural,GDP,incQ2,incQ3,incQ4,incQ5,quintilecum1,quintilecum2,quintilepc1,quintilepc2,gini,tot_pop,pop_190,pop_320,pop_550,pop_1000,pop_190_urban,pop_320_urban,pop_550_urban,pop_190_rural,pop_320_rural,pop_550_rural,pop_190_service,pop_190_agricul,pop_190_manufac,pop_320_service,pop_320_agricul,pop_320_manufac,pop_550_service,pop_550_agricul,pop_550_manufac,gap_190,gap_320,gap_550,gap_190_service,gap_190_agricul,gap_190_manufac,gap_320_service,gap_320_agricul,gap_320_manufac,gap_550_service,gap_550_agricul,gap_550_manufac,decent_jobs_urban,decent_jobs_rural,decent_jobs_service,decent_jobs_agricul,decent_jobs_manufac,working_poor_urban,working_poor_rural,working_poor_service,working_poor_agricul,working_poor_manufac,ppl_in_hh_working_poor_urban,ppl_in_hh_working_poor_rural,pop_sv_unskilled,pop_sv_skilled,pop_ag_unskilled,pop_ag_skilled,pop_mn_unskilled,pop_mn_skilled,pop_sv_unskilled_urban,pop_sv_skilled_urban,pop_ag_unskilled_urban,pop_ag_skilled_urban,pop_mn_unskilled_urban,pop_mn_skilled_urban,pop_sv_unskilled_rural,pop_sv_skilled_rural,pop_ag_unskilled_rural,pop_ag_skilled_rural,pop_mn_unskilled_rural,pop_mn_skilled_rural,unemployed,unemployed_rural,sv_income_pc,sv_unskilled_income_pc,sv_skilled_income_pc,ag_income_pc,ag_unskilled_income_pc,ag_skilled_income_pc,mn_income_pc,mn_unskilled_income_pc,mn_skilled_income_pc,nonag_income_pc,gap_190_urban,gap_320_urban,gap_550_urban,gap_190_rural,gap_320_rural,gap_550_rural,childrenag,childrenonag,peopleag,peoplenonag,avg_income_ag,avg_income_nonag,fa20_earthquake,fa20_wind,fa20_surge,fa20_tsunami,fa20_riverflood,shareag,sharemanu,shareemp,shareurban,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,voice,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,flood_share_poor,flood_share_nonpoor,drought_share,wind_share,surge_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
0,PHL,2030,5,ssp4,0,True,True,True,True,True,0.804358648015787,6.6201950399157745,8.905997764279675,1.5456955077059487,0.557086744350258,2.1867863929652973,957272799.8546337,1.9525170085649202,4.018607496167186,8.29720757979683,16.608128257901402,1.2307740039517385,2.8338563762754587,0.005349790986558705,0.01231789040906233,0.5196742328542181,144598881.76728,41967054.14284364,144592641.64523208,144598868.21876436,144598881.76750946,95216299.96503977,95401672.70285659,95407899.27638553,49190968.94083015,49190968.94237556,49190968.9423789,26964495.392541476,12605773.123163493,8400497.633155031,26986613.48363507,12605773.123199705,8400736.487024631,26987914.343846995,12605773.123199867,8400736.487026663,0.8843010096721449,0.9310667903755154,0.9598776266717054,0.8512263577674832,0.9657146125087943,0.9460133274280932,0.9114975812733735,0.9796430511765433,0.9679436719737999,0.9484772285804013,0.9881559570482652,0.9813490455112949,23660.403680217423,0.0003010223829706986,23421.55004036897,3.637673889429377e-05,238.85390449409678,31391893.054889698,16578873.093970291,26964495.39254147,12605773.123163499,8400497.633155026,2129498735.9557953,3231390768.866699,1805745.534980761,25182171.407601092,11958801.135690194,646971.9875096874,4913457.6417606,3487278.8452989184,1281035.2319702045,24463119.11611899,944151.2541843995,117980.66891383912,2331223.653109906,2278043.53427259,524710.3030105567,719052.2914821068,11014649.881505778,528991.3185958479,2582233.9886506908,1209235.3110263306,34843816.368611895,6467397.540515818,3.663444496844666,2.4501286226448147,3.6682835391822604,1.2912570273748745,0.7361046006151163,1.301854662641016,2.864739724268537,1.4468413323457676,2.870793606687941,3.609861329824687,0.8444285309411894,0.907270346255348,0.946024287577934,0.9616353264508382,0.9772209750751254,0.9867467491339508,19842449.54317772,21987009.988765538,43612325.59331838,100986556.17404097,1.9542670870724876,8.635235227280923,2.2,11.85,2.2,0.05,1.49758975675636,0.2626507706916339,0.17503566736306905,0.579375236117759,0.6019439931891609,-0.03594308071417735,-0.03095203766970433,-0.03116415449309511,1.0,1.0,1.0,0.17693881760075147,0.0,0.035609540106011583,0.003690104655328597,-0.003775481784872081,0.9821952299469943,0.0,0.01,0.0,0.0,0.0,0.0,0.0023430000000000464,0.0067527333597884286,0.003253526444987773,0.003253526444987773,0.00018555142637342216,0.002982594526333333,0.0019330558970000002,-0.04592380696644649,-0.04142562314596199,-0.041295683118385274
1,PHL,2030,5,ssp4,1,True,True,True,True,True,0.7635127367415961,6.360146068634719,8.557954072013132,1.4707433070612854,0.5237981843609416,2.097406811804776,919670009.4026022,1.862113482370388,3.854139470347164,7.973905920156149,15.984964595789222,1.1647376628286923,2.7306264170236396,0.0051397583894091554,0.012049717703087381,0.521453771999366,144598881.76721075,44887957.15690429,144593021.39443952,144598868.48459867,144598881.76750952,95221173.23278691,95402052.45206386,95407899.54221801,49190968.940861784,49190968.942375734,49190968.942380756,26965143.29293197,12605773.123164376,8400502.319769185,26986777.760724444,12605773.123199714,8400736.487024952,26987914.39483566,12605773.123199873,8400736.487027418,0.8888059283703074,0.9337735268401383,0.9614536787251279,0.857102701184814,0.9671024448074399,0.9482684692557152,0.9150084635887713,0.9804670766039422,0.9692830785379042,0.9505222854039529,0.9886353900241721,0.982128336603185,23007.81667912192,0.00029660120143270414,22773.649649885327,3.549858990541401e-05,234.16729033919512,31392545.641890794,16578873.093974713,26965143.29293195,12605773.123164373,8400502.319769168,2130057838.673111,3231614548.4474487,1805745.5349807614,25182171.407601085,11958801.135690182,646971.9875096873,4913457.6417605905,3487278.84529892,1281035.231970203,24463119.11611899,944151.2541843994,117980.66891383914,2331223.653109905,2278043.53427259,524710.3030105567,719052.2914821064,11014649.881505786,528991.318595848,2582233.9886506917,1209235.3110263303,34843816.368611895,6467397.540515818,2.611647935238243,1.767292228361021,2.6153176136590943,0.7381433365161435,0.37787440317094245,0.7449872163338372,1.9351516399415614,0.8808204777557389,1.939589411205356,2.5287821876292678,0.8504476509427774,0.9108926080641707,0.9481336397750043,0.9632033892769221,0.9781520123788914,0.987288443565302,19842449.543176997,21987009.98877011,43612325.593325764,100986556.17407282,1.8751606460367416,8.297043928528728,2.2,11.85,2.2,0.05,1.49758975675636,0.2626507706916339,0.17503566736306905,0.579375236117759,0.6019439931891609,-0.03594308071417735,-0.03095203766970433,-0.03116415449309511,1.0,1.0,1.0,0.17693881760075147,0.0,0.035609540106011583,0.05196715661507234,0.0100630440599081,0.9821952299469943,1.0,0.03,1.0,1.0,1.0,1.0,0.0023430000000000464,0.0067527333597884286,0.006507052889975546,0.006507052889975546,0.00037110285274684433,0.014912972631666665,0.009665279485,-0.04622686559785716,-0.041562337389230763,-0.041805229992518345
2,PHL,2030,5,ssp5,0,True,True,True,True,True,1.466997593058029,8.464496812085395,10.113877473981262,2.5969365981237917,1.0501743164644501,6.0008359696613525,1133773054.255251,3.386100721365832,6.000808461739311,10.562039457018965,19.254631857846356,2.4280793811789567,4.557769132977,0.010155955302969972,0.01906383290207554,0.45740225937812096,133944530.83564413,19390671.522540607,133933163.99779259,133940093.26389663,133944530.83572295,80013045.23794715,80223121.6504717,80226890.99564752,53652974.35519529,53710042.34732084,53713202.26824904,26557088.86574032,12432119.880553236,8272187.641042387,26620743.576646414,12435809.511017846,8286285.466743641,26623240.656867918,12435814.870894957,8287385.157855645,0.8521823911802665,0.9118688304003403,0.9487022071958529,0.8330909098956388,0.9448731750029421,0.8680563333040894,0.9005463585272403,0.9672016353565065,0.9213926289481664,0.942102547646659,0.9809171674034508,0.9542462507640228,69265.4066323991,16676.41252888774,66961.50838238627,3694.990341720938,15285.320437179638,29227266.6603804,18034129.72695554,26557088.865740314,12432119.880553234,8272187.641042387,2128919116.120636,3231028269.2412415,206237.06017321427,26417813.313949477,5860888.500112534,6574926.370782416,664561.69975698,7622911.261722584,115340.755192038,20922368.143880166,495396.20110121643,1395998.0118547548,236356.43259270332,6131072.52239191,90896.30498117638,5495445.170069325,5365492.299011319,5178928.358927669,428205.26716427685,1491838.7393306743,34374032.07762667,10423462.239159787,4.250284061229355,2.780104267198346,4.25590599493654,1.515353848526436,0.8764879943664023,1.5272870931008269,3.336456186068084,1.6833033880916324,3.343453055351463,4.1809299778265485,0.8235274871601584,0.8947042091685741,0.9387062253119727,0.8949838903183153,0.9375074268634578,0.963633089870937,12664979.44329802,15382453.24569057,40156337.10076586,93788193.73490372,3.1486673784447703,10.740521439564436,2.2,11.85,2.2,0.05,1.49758975675636,0.2626507706916339,0.17503566736306905,0.579375236117759,0.6019439931891609,-0.01840989795152099,-0.013418854907047964,-0.013630971730438746,1.0,1.0,1.0,0.17693881760075147,0.0,0.035609540106011583,-0.0013304516094443384,-0.008843376358770083,0.9821952299469943,0.0,0.01,0.0,0.0,0.0,0.0,0.0023430000000000464,0.0067527333597884286,0.003253526444987773,0.003253526444987773,0.00018555142637342216,0.002982594526333333,0.0019330558970000002,-0.028572142425364322,-0.024339175209903585,-0.023945852307327486
3,PHL,2030,5,ssp5,1,True,True,True,True,True,1.3943194400193843,8.160904878755826,9.752857018660661,2.478853980804596,0.9950932319708569,5.783024356264067,1093108575.1799107,3.2502084791913384,5.764266126291077,10.172292273877023,18.618140165568228,2.319691358374983,4.383788344424983,0.009939393608197249,0.018783618645193803,0.45951770689322424,133944530.83562204,20593529.261287857,133933413.37558183,133940194.84209584,133944530.83572285,80023912.50498322,80223298.90159072,80226987.30158012,53665389.30879999,53710114.47399118,53713207.54051575,26562517.79790468,12432507.429415686,8273573.69311832,26620831.10311976,12435809.64388727,8286313.933621957,26623259.129063994,12435814.870894965,8287387.300417673,0.8574286920985412,0.9150276741453635,0.9505414216403615,0.8390769208453617,0.9469747015434813,0.8728252798256501,0.9041427790797222,0.9684586747037722,0.9242577780831226,0.9441971660831118,0.9816485615673635,0.9559152682720944,65811.79293954193,12927.49311900443,61532.57621802336,3307.4414792779585,13899.268361245035,29230720.274073258,18037878.646365438,26562517.797904667,12432507.429415675,8273573.693118323,2129447968.2126923,3231509075.724823,206237.06017321436,26417813.313949503,5860888.500112537,6574926.370782423,664561.6997569806,7622911.261722582,115340.75519203798,20922368.14388016,495396.20110121643,1395998.011854756,236356.43259270335,6131072.522391912,90896.30498117638,5495445.170069322,5365492.29901132,5178928.358927665,428205.2671642772,1491838.739330674,34374032.0776267,10423462.239159781,3.0489751004835077,2.0221808456658636,3.053234963900334,0.8789122715837997,0.46094787240245166,0.8867681283205638,2.270067085136866,1.0412140433280488,2.275224221121314,2.9431948349667154,0.8297521812331103,0.8984602144115861,0.9408931162599463,0.8987687766831771,0.9397742973770667,0.9649529839384468,12664979.44329647,15382453.245690342,40156337.100757875,93788193.73488511,3.0279873414284864,10.358613979774692,2.2,11.85,2.2,0.05,1.49758975675636,0.2626507706916339,0.17503566736306905,0.579375236117759,0.6019439931891609,-0.01840989795152099,-0.013418854907047964,-0.013630971730438746,1.0,1.0,1.0,0.17693881760075147,0.0,0.035609540106011583,0.03891116517424354,-0.005569872883737004,0.9821952299469943,1.0,0.03,1.0,1.0,1.0,1.0,0.0023430000000000464,0.0067527333597884286,0.006507052889975546,0.006507052889975546,0.00037110285274684433,0.014912972631666665,0.009665279485,-0.028880712746246928,-0.025007652628741717,-0.024464620535637027
