COUNTRY,RATIO AVG 1980-2010,RATIO RCP2.6 AVG 2020s,RATIO RCP2.6 AVG 2050s,RATIO RCP8.5 AVG 2020s,RATIO RCP8.5 AVG 2050s
Central African Republic          ,100,100,100,100,99.9027
Chad                              ,85.5188,84.2128,82.5216,83.6782,77.2626
Chile                             ,1.50517,1.69328,1.61655,1.0799,1.03954
China                             ,35.9974,38.645,41.2475,38.2712,43.7853
Colombia                          ,69.4461,73.018,73.525,73.2756,76.049
Comoros                           ,-9999,-9999,-9999,-9999,-9999
Congo                             ,100,100,100,100,100
Costa Rica                        ,91.8206,93.5051,94.6293,93.5051,99.1221
Croatia                           ,14.2921,17.4495,18.7401,17.0871,23.8612
Cuba                              ,99.5312,99.3102,98.4261,99.5312,98.4261
Cyprus                            ,0,9.15689,9.15689,9.15689,12.5463
Czech Republic                    ,0,0.627505,1.82684,0.223409,7.65281
Denmark                           ,0,0,0,0,0.0648958
Djibouti                          ,21.8666,25.7168,25.7146,23.9029,31.2951
Dominica                          ,-9999,-9999,-9999,-9999,-9999
Dominican Republic                ,95.2633,96.8139,97.5,96.713,98.2057
Ecuador                           ,60.6422,61.3541,61.7069,61.3473,64.145
Egypt                             ,0,0,0,0,0
El Salvador                       ,94.7644,95.4503,94.7458,94.5672,94.215
Equatorial Guinea                 ,100,100,100,100,100
Eritrea                           ,45.5514,48.0882,48.4739,48.2357,53.4006
Estonia                           ,0,0,0,0,0
Ethiopia                          ,48.3355,57.1676,62.0485,57.8656,71.6353
Falkland Islands (Islas Malvinas) ,0,0,0,0,0
Faroe Islands                     ,-9999,-9999,-9999,-9999,-9999
Fiji                              ,98.3433,98.012,96.6866,98.3433,96.6866
Finland                           ,0,0,0,0,0
France                            ,3.2611,7.69003,11.3466,7.9003,14.6769
French Guiana                     ,100,99.3874,96.9122,100,96.9122
French Polynesia                  ,-9999,-9999,-9999,-9999,-9999
Gabon                             ,100,98.992,94.9872,100,94.9872
"Gambia, The                       ",92,92,92,92,88
Gaza Strip                        ,-9999,-9999,-9999,-9999,-9999
Georgia                           ,15.0994,18.6651,20.2282,18.9027,22.0795
Germany                           ,0,0.492184,2.01481,0.385917,6.45081
Ghana                             ,99.8624,99.7358,99.078,99.6904,97.5443
Greece                            ,8.66681,10.6546,10.6336,11.088,11.5558
Greenland                         ,0,0,0,0,0
Grenada                           ,-9999,-9999,-9999,-9999,-9999
Guadeloupe                        ,-9999,-9999,-9999,-9999,-9999
Guatemala                         ,68.9093,72.9681,72.5351,72.3989,80.6915
Guinea                            ,100,99.9722,99.9201,99.9722,98.7116
Guinea-Bissau                     ,92.6297,93.8414,91.2695,93.2032,86.8752
Guyana                            ,100,100,100,100,100
Haiti                             ,100,100,98.7538,100,98.7538
Honduras                          ,94.1732,96.5752,96.062,96.4009,96.2428
Hong Kong                         ,100,93.75,100,100,100
Hungary                           ,10.8023,17.6696,18.8146,17.3585,20.17
Iceland                           ,0,0,0,0,0
India                             ,77.8799,75.7203,76.7046,77.1759,73.5488
Indonesia                         ,99.5522,99.0927,98.6263,99.2041,98.6263
Iran                              ,1.95318,2.6201,2.8809,2.61257,3.24914
Iraq                              ,3.3034,3.69411,4.72709,4.91274,4.87068
Iraq-Saudi Arabia Neutral Zone    ,0,0,0,0,0
Ireland                           ,0,0,0,0,0
Isle of Man                       ,-9999,-9999,-9999,-9999,-9999
Israel                            ,1.06319,6.10269,11.089,5.12127,16.1187
Italy                             ,14.9636,18.2198,20.7893,18.6655,21.817
Ivory Coast                       ,99.509,99.5103,99.5123,99.5103,99.3144
Jamaica                           ,100,100,100,100,100
Jan Mayen                         ,-9999,-9999,-9999,-9999,-9999
Japan                             ,35.3294,38.347,40.3992,37.43,42.4576
Jordan                            ,0,0,1.39034,0,0
Kazakhstan                        ,2.80384,6.28773,8.77354,5.83104,11.9909
Kenya                             ,62.324,66.8242,67.7899,67.7975,75.4414
Kerguelen                         ,0,0,0,0,0
Kiribati                          ,-9999,-9999,-9999,-9999,-9999
"Korea, Peoples Republic of        ",12.2438,20.898,26.0045,20.6666,29.3526
"Korea, Republic of                ",28.8448,37.9779,42.7181,40.2579,44.3374
Kuwait                            ,0,0,0,0,0
Kyrgyzstan                        ,0,0.495821,1.98118,0.340028,3.45412
Laos                              ,99.9228,100,100,100,99.2971
Latvia                            ,0,0,0,0,0
Lebanon                           ,0,2.90879,1.93623,2.90879,5.80868
Lesotho                           ,4.75807,6.87217,10.3949,6.97008,13.622
Liberia                           ,100,100,100,100,100
Libya                             ,0,0,0.0349399,0.115279,0.0349399
Liechtenstein                     ,-9999,-9999,-9999,-9999,-9999
Lithuania                         ,0,0,0,0,2.37905
Luxembourg                        ,0,0,0,0,4
Macau                             ,-9999,-9999,-9999,-9999,-9999
Macedonia                         ,8.68134,12.7488,15.5597,12.1554,17.7211
Madagascar                        ,81.9339,85.9369,87.2374,85.937,91.6589
Malawi                            ,96.4199,95.6964,92.1407,96.3754,93.1257
Malaysia                          ,99.9073,99.8884,99.8137,99.907,99.8137
Maldives                          ,-9999,-9999,-9999,-9999,-9999
Mali                              ,76.4505,73.472,71.0502,73.0578,66.8159
Malta                             ,-9999,-9999,-9999,-9999,-9999
Martinique                        ,-9999,-9999,-9999,-9999,-9999
