country,total cost mil. (b=0% ssp2_2030),income per adult (b=0% ssp2_2030),total cost mil. (b=0% ssp4_2030),income per adult (b=0% ssp4_2030),total cost mil. (b=2% ssp2_2030),income per adult (b=2% ssp2_2030),total cost mil. (b=2% ssp4_2030),income per adult (b=2% ssp4_2030),total cost mil. (b=0% ssp2_2050),income per adult (b=0% ssp2_2050)
BGD,0.0,0.0,0.0,0.0,6213.844914812399,44.5786394525611,5549.315706378466,40.10328232587332,0.0,0.0
IDN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
SDN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
RWA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
VNM,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TUN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
LAO,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MOZ,0.0,,,,,,,,,
BFA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MRT,0.0,0.0,0.0,0.0,,,,,0.0,0.0
ARG,0.0,,,,,,,,,
MEX,0.0,0.0,0.0,0.0,,,,,0.0,0.0
PNG,0.0,0.0,0.0,0.0,,,,,0.0,0.0
HND,0.0,0.0,0.0,0.0,,,,,0.0,0.0
SLV,0.0,0.0,0.0,0.0,,,,,0.0,0.0
SLB,0.0,0.0,0.0,0.0,,,,,0.0,0.0
PAN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TON,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MDG,0.0,0.0,0.0,0.0,,,,,0.0,0.0
GMB,0.0,0.0,0.0,0.0,,,,,0.0,0.0
LBN,0.0,,,,,,,,,
GTM,0.0,0.0,0.0,0.0,,,,,0.0,0.0
PHL,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MYS,0.0,0.0,0.0,0.0,,,,,0.0,0.0
ARM,0.0,0.0,0.0,0.0,,,,,0.0,0.0
CAF,0.0,0.0,0.0,0.0,,,,,0.0,0.0
JOR,0.0,0.0,0.0,0.0,,,,,0.0,0.0
DJI,0.0,0.0,0.0,,,,,,0.0,0.0
THA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
BEN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
PAK,0.0,0.0,0.0,0.0,,,,,0.0,0.0
EGY,0.0,0.0,0.0,0.0,,,,,0.0,0.0
NAM,0.0,0.0,0.0,0.0,,,,,0.0,0.0
BOL,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MDV,0.0,0.0,0.0,0.0,,,,,0.0,0.0
AGO,0.0,0.0,0.0,0.0,,,,,0.0,0.0
DOM,0.0,0.0,0.0,0.0,,,,,0.0,0.0
COD,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MAR,0.0,0.0,0.0,0.0,,,,,0.0,0.0
CHN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MKD,0.0,,,,,,,,,
URY,0.0,0.0,0.0,0.0,,,,,0.0,0.0
NER,0.0,0.0,0.0,0.0,,,,,0.0,0.0
BRA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MDA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TCD,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MMR,0.0,0.0,0.0,0.0,,,,,0.0,0.0
ECU,0.0,0.0,0.0,0.0,,,,,0.0,0.0
BDI,0.0,0.0,0.0,0.0,,,,,0.0,0.0
CIV,0.0,0.0,0.0,0.0,,,,,0.0,0.0
VUT,0.0,0.0,0.0,0.0,,,,,0.0,0.0
ZMB,0.0,0.0,0.0,0.0,,,,,0.0,0.0
CMR,0.0,0.0,0.0,0.0,,,,,0.0,0.0
CRI,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TGO,0.0,0.0,0.0,0.0,,,,,0.0,0.0
COL,0.0,0.0,0.0,0.0,,,,,0.0,0.0
KGZ,0.0,0.0,0.0,0.0,,,,,0.0,0.0
MNG,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TZA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TLS,0.0,0.0,0.0,0.0,,,,,0.0,0.0
KAZ,0.0,0.0,0.0,0.0,,,,,0.0,0.0
SLE,0.0,0.0,0.0,0.0,,,,,0.0,0.0
IRQ,0.0,0.0,0.0,0.0,,,,,0.0,0.0
TUR,0.0,,,,,,,,,
NGA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
PSE,0.0,,,,,,,,,
GAB,0.0,0.0,0.0,0.0,,,,,0.0,0.0
BTN,0.0,0.0,0.0,0.0,,,,,0.0,0.0
PER,0.0,0.0,0.0,0.0,,,,,0.0,0.0
CHL,0.0,0.0,0.0,0.0,,,,,0.0,0.0
LKA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
NIC,0.0,0.0,0.0,0.0,,,,,0.0,0.0
GHA,0.0,0.0,0.0,0.0,,,,,0.0,0.0
STP,0.0,0.0,0.0,0.0,,,,,0.0,0.0
COM,0.0,0.0,0.0,0.0,,,,,0.0,0.0
LSO,0.0,0.0,0.0,0.0,,,,,0.0,0.0
FSM,0.0,,,,,,,,,
