BGD,total cost mil. (b=0% ssp2_2030),0.0
BGD,income per adult (b=0% ssp2_2030),0.0
BGD,total cost mil. (b=0% ssp4_2030),0.0
BGD,income per adult (b=0% ssp4_2030),0.0
BGD,total cost mil. (b=2% ssp2_2030),6213.844914812399
BGD,income per adult (b=2% ssp2_2030),44.5786394525611
BGD,total cost mil. (b=2% ssp4_2030),5549.315706378466
BGD,income per adult (b=2% ssp4_2030),40.10328232587332
BGD,total cost mil. (b=0% ssp2_2050),0.0
BGD,income per adult (b=0% ssp2_2050),0.0
IDN,total cost mil. (b=0% ssp2_2030),0.0
IDN,income per adult (b=0% ssp2_2030),0.0
IDN,total cost mil. (b=0% ssp4_2030),0.0
IDN,income per adult (b=0% ssp4_2030),0.0
IDN,total cost mil. (b=0% ssp2_2050),0.0
IDN,income per adult (b=0% ssp2_2050),0.0
SDN,total cost mil. (b=0% ssp2_2030),0.0
SDN,income per adult (b=0% ssp2_2030),0.0
SDN,total cost mil. (b=0% ssp4_2030),0.0
SDN,income per adult (b=0% ssp4_2030),0.0
SDN,total cost mil. (b=0% ssp2_2050),0.0
SDN,income per adult (b=0% ssp2_2050),0.0
RWA,total cost mil. (b=0% ssp2_2030),0.0
RWA,income per adult (b=0% ssp2_2030),0.0
RWA,total cost mil. (b=0% ssp4_2030),0.0
RWA,income per adult (b=0% ssp4_2030),0.0
RWA,total cost mil. (b=0% ssp2_2050),0.0
RWA,income per adult (b=0% ssp2_2050),0.0
VNM,total cost mil. (b=0% ssp2_2030),0.0
VNM,income per adult (b=0% ssp2_2030),0.0
VNM,total cost mil. (b=0% ssp4_2030),0.0
VNM,income per adult (b=0% ssp4_2030),0.0
VNM,total cost mil. (b=0% ssp2_2050),0.0
VNM,income per adult (b=0% ssp2_2050),0.0
TUN,total cost mil. (b=0% ssp2_2030),0.0
TUN,income per adult (b=0% ssp2_2030),0.0
TUN,total cost mil. (b=0% ssp4_2030),0.0
TUN,income per adult (b=0% ssp4_2030),0.0
TUN,total cost mil. (b=0% ssp2_2050),0.0
TUN,income per adult (b=0% ssp2_2050),0.0
LAO,total cost mil. (b=0% ssp2_2030),0.0
LAO,income per adult (b=0% ssp2_2030),0.0
LAO,total cost mil. (b=0% ssp4_2030),0.0
LAO,income per adult (b=0% ssp4_2030),0.0
LAO,total cost mil. (b=0% ssp2_2050),0.0
LAO,income per adult (b=0% ssp2_2050),0.0
MOZ,total cost mil. (b=0% ssp2_2030),0.0
BFA,total cost mil. (b=0% ssp2_2030),0.0
BFA,income per adult (b=0% ssp2_2030),0.0
BFA,total cost mil. (b=0% ssp4_2030),0.0
BFA,income per adult (b=0% ssp4_2030),0.0
BFA,total cost mil. (b=0% ssp2_2050),0.0
BFA,income per adult (b=0% ssp2_2050),0.0
MRT,total cost mil. (b=0% ssp2_2030),0.0
MRT,income per adult (b=0% ssp2_2030),0.0
MRT,total cost mil. (b=0% ssp4_2030),0.0
MRT,income per adult (b=0% ssp4_2030),0.0
MRT,total cost mil. (b=0% ssp2_2050),0.0
MRT,income per adult (b=0% ssp2_2050),0.0
ARG,total cost mil. (b=0% ssp2_2030),0.0
MEX,total cost mil. (b=0% ssp2_2030),0.0
MEX,income per adult (b=0% ssp2_2030),0.0
MEX,total cost mil. (b=0% ssp4_2030),0.0
MEX,income per adult (b=0% ssp4_2030),0.0
MEX,total cost mil. (b=0% ssp2_2050),0.0
MEX,income per adult (b=0% ssp2_2050),0.0
