countrycode,wbreg,shareemp,shareag,sharemanu,poorag,poorindus,poorserv,pooremp,poorold,poorunemp,poorchildren,below125,pooradult,skillpag,skillpserv,skillpmanu,gdp,quintile2,quintilepc2,below4,below6,below8,below10,gini,tot_pop,gap,incbott20,inc2040,incbott40,avincome
HND,LAC,0.5868285290730186,0.32693867762937373,0.22500451181830777,289309.99938964844,32559.911518096924,59270.514934539795,381140.42584228516,72156.69240570068,315900.70402526855,731685.9346199036,1500883.756893158,697041.1298675537,4.547469060188554,1.9982880638216314,2.244325878288298,1074051285.6542385,100055286.70224603,0.09315689859381239,4675466.094425201,5671207.315986633,6013148.713130951,6444679.584880829,0.5612863449788938,7178436.124526978,0.08936047942747546,20.79670275571863,48.88198526408967,34.8392276379808,149.62190469097655
HTI,LAC,0.4469894734797728,0.43146708796665406,0.10244796046575887,694927.1251602173,107546.95442962646,526942.2214508057,1329416.3010406494,290236.8974227905,1755682.4726867676,2597708.75056839,5973044.421718597,3085098.773727417,1.6019264636643458,1.6700923554026683,2.115054169540413,511185531.87441087,40875762.021941595,0.07996267396704031,8610749.803173065,8968564.423160553,9219370.916599274,9342352.594623566,0.6099905869615342,9499474.58561325,0.34662189565416934,5.904251634743558,15.588555841666624,10.747850984799435,53.81197952238225
HUN,ECA,0.5618555429149574,0.055233276024511495,0.3279791958419957,392.6959533691406,0.0,0.0,392.6959533691406,0.0,1178.0878601074219,392.6959533691406,1963.4797668457031,1570.7838134765625,1.420392768386082,1.571333256756664,1.230486551605847,4015508317.9664464,902590809.6015294,0.2247762271000912,181459.01432800293,998852.0811920166,2070825.7698287964,3816941.7145462036,0.2805469357061984,10060786.004127502,8.966807449857473e-05,173.10228826859057,275.30930300576,224.1583516316191,399.12471215659076
IDN,EAP,0.6680061919668845,0.3691398768101652,0.17760058544133853,11413523.489471436,4018338.046737671,6203719.287490845,21635580.82369995,3588010.788711548,10855089.481811523,20490818.95425415,56569500.04847717,32490670.305511475,1.3440320127461154,1.521969464516112,1.4388888468839278,15839090574.76464,3147049571.4541993,0.19868877929571266,207858739.15193176,226317343.19198608,228465986.92851257,228759189.03419495,0.3422043655050896,230972811.72254944,0.053407816544448816,27.628497225745406,40.496003565849186,34.062391666302446,68.57556288395956
IND,SAS,0.547638319254671,0.5028197733607179,0.22517479681674682,92507011.77332401,38677857.09886789,30864223.260997772,162049092.13318968,19462411.980769634,126371889.0708077,190276408.31753993,498159801.50230694,288420981.2039974,1.5111257351666392,1.7958803889423212,1.6934146527794032,58981619419.51128,12565298892.366852,0.21303753637205414,1112524316.2245765,1143211054.0684414,1151310164.3370147,1154786803.5675812,0.3220071326168862,1159095238.3619852,0.11146268986172722,22.210892454739717,31.992134910963326,27.10032462003212,50.88591296679223
JAM,LAC,0.5790454884358519,0.2131358662161512,0.16239536383139,40463.44161224365,41390.97031402588,167534.87980651855,249389.2917327881,80579.05986785889,250200.87942504883,273852.8625793457,854022.0936050415,499590.1711578369,1.1489658527501418,0.8392737391657026,0.9419794183483872,784617546.8298888,16731033.76767097,0.0213238078032665,1291467.8388900757,1545726.6566848755,1735522.2265777588,1909781.689994812,0.6690914913738062,2706181.060317993,0.2748047411871306,0.09947816282510713,30.750038668255886,15.416549915932794,289.935347761872
KEN,SSA,0.6080657987915815,0.6038746522569579,0.06769256007387643,3301701.1424851893,242533.02293180538,750274.1432496929,4294508.308666687,562272.9970049821,3003306.5353676076,7573643.866415248,15433731.707454547,7297814.8440342955,3.1552506174445094,1.686458940588181,2.4669992479830767,2548776995.5391765,350186878.73986095,0.13739408326140395,33817429.2998521,35279444.736838706,36987577.42367679,37271794.80539369,0.47317497786912777,37752303.93704126,0.15291154227923473,16.332098788011987,30.03069132809428,23.176603167356486,67.5131509798639
KGZ,ECA,0.5313454879065442,0.47480537784119936,0.09719697328335843,83765.53416442871,2350.659194946289,17923.508155822754,104039.70151519775,21092.71949005127,124830.28583526611,167041.43787384033,417004.14471435547,228869.98735046387,1.243483314736465,0.5952005209553216,0.9618272711892396,644866576.4040653,107296280.52517474,0.16638524068573257,3332000.356803894,4192259.0902557373,4616257.350372314,4736695.952056885,0.40294246008939805,5134296.9758377075,0.017473346222544532,39.676810592160564,64.709208596475,52.210310525234874,125.59978112657758
KHM,EAP,0.814517379106905,0.5890688136905577,0.13214751319602525,1313180.7530593872,272173.5259246826,228984.9252166748,1814339.2042007446,137102.32679748535,356780.2875442505,1580436.110660553,3888657.9292030334,2171119.491744995,1.5223463171334497,1.6087991592141564,1.6238269739862845,1020244237.9433138,179485650.27031225,0.1759241989272423,12156157.215770721,12883535.102489471,13486350.1054039,13588539.934719086,0.40253972832618246,13747288.020702362,0.06386689836921008,26.180221319451757,39.05520094710188,32.61905214515392,74.21421857219433
LAO,EAP,0.8292181476972601,0.6846088949477138,0.11352823381727485,845863.827079773,76014.49129295349,82616.20277309418,1004494.5211458206,80738.31559848785,183227.08571624756,1012963.6286773682,2281423.551137924,1187721.6068620682,2.2370137809643826,1.187984664942668,1.6099359104514084,351915727.8211546,67921253.38660938,0.19300431329720813,5553222.082945824,5867598.235056877,5942941.834033012,5962304.887660027,0.3601448585764102,6012476.558142662,0.09908848117149666,22.308152723633235,34.14606336748888,28.237734880569455,58.53091058534892
LBN,MNA,0.4276902609871229,0.0639525709731901,0.33074921498417725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933106269732684,1.7193120037942065,3.1829753334277076,3037153304.048518,516135146.007065,0.16994043248296223,15561.416835784912,125471.41230010986,412595.338722229,784464.9357910156,0.3899301964894454,4139812.9989318848,0.0,235.0505227340757,388.19953707858804,311.6372139433446,733.6450474531424
LBR,SSA,0.6894600186840321,0.4713884834015601,0.02124168763433657,556930.3353643417,24445.621359348297,549850.6531677246,1131226.6098914146,83451.05797290802,504562.1413640976,1265371.8021416664,2984611.6113700867,1635788.7512555122,1.0,1.0,1.0,116909302.10153963,12302094.164636577,0.10522767601462339,3381576.8046512604,3424301.075756073,3449481.302084923,3473766.373732567,0.6058099286250282,3522293.983537674,0.5093352074289191,6.456366842296061,10.9927286590036,8.725147020709533,33.19123918899008
LKA,SAS,0.5560820286963826,0.30470859864350636,0.2660126863529257,143495.58229732513,128637.62582492828,170084.91888237,442218.1270046234,94745.04956054688,413109.7011709213,393626.92977142334,1343699.807507515,855327.8281755447,0.8943023353337631,1.2547847597304065,1.1008302786623092,2589363828.087623,515820161.3311769,0.19920729398314627,12368851.118051529,17249964.90907383,18424545.157230377,18996212.741945267,0.34660172618837104,20301911.988822937,0.018561366871057954,46.272541181674455,80.770240719267,63.50380485736632,127.54285554548643
MAR,MNA,0.49936864836756245,0.44207466179684934,0.2117473642368834,86946.62622070312,24844.03839111328,11999.997741699219,123790.66235351562,23602.310974121094,115700.67254638672,255269.8783569336,518363.52423095703,239491.33489990234,1.0,1.0,1.0,5284091378.659253,906656185.4517571,0.17158223060135705,14254489.169769287,21303332.974243164,24870442.47441101,27310183.848640442,0.39289015495731394,30667086.004821777,0.003165189179629069,56.190771034755564,91.60488888980449,73.89492975437267,172.30497145468718
MDA,ECA,0.711635605012516,0.48696798779174116,0.14736030475036452,4465.104309082031,1102.838134765625,1102.838134765625,6670.780578613281,0.0,1860.787353515625,5609.2088623046875,14140.776794433594,8531.567932128906,1.0,1.0,1.0,749412276.3835334,133062980.18850444,0.17755644573989565,1163861.2626342773,2191889.0760498047,2667838.4893188477,2985907.7817993164,0.37702389163371586,3672638.0181884766,0.0005341454443830593,67.12450592447635,113.72925508811204,90.44833213643497,204.05285592321454
MDG,SSA,0.7911365397490193,0.7725645509835758,0.11942349565492884,4579877.604389191,340588.7073993683,296974.9309425354,5217441.242731094,287102.0843486786,1302179.7352523804,6928927.482500076,13735650.54483223,6519620.977983475,1.9307164372844796,1.5592198793986534,1.9320501902765332,647609119.228811,102599243.89693287,0.15842773186873912,19080459.304546356,19217090.76483345,19299884.24267006,19344486.30483246,0.4118408456130179,19370146.83560753,0.33942697520730764,9.309569651378759,17.164912113117385,13.236600884997676,33.433361384660834
MEX,LAC,0.6243528800755326,0.12381060561568577,0.2591736418638435,152989.5397758484,34650.7658996582,21849.00329208374,209489.30896759033,31193.95933532715,196708.22198486328,320176.38428878784,757567.8745765686,406197.5309524536,4.1382192145663454,1.9440019028494389,2.3085098400134663,36761524425.347336,5004789568.871003,0.13614205741207425,23594333.994976044,46396174.35479736,67020241.96461487,79075424.32360077,0.47643083914884043,113529818.97675514,0.0010365322228435261,77.53091199048745,142.86067063482463,110.20379776611124,323.80501225738885
MKD,ECA,0.36858283817776094,0.18511896075887516,0.3019209924915545,39.85523986816406,37.666160583496094,73.0380973815918,150.55949783325195,26.6334171295166,1811.1407279968262,2375.6094512939453,4363.94309425354,1961.7002258300781,1.1016454155499165,1.0383705767633022,1.200696413912161,704695296.2378197,143165785.4162118,0.20315984253128364,185498.65180778503,430993.7221317291,795229.7200775146,1094168.3665437698,0.3256515615965515,2096620.0079050064,0.00047443353878924024,125.35588594215358,215.71421935290408,170.57269847261273,336.1101647322198
MNG,EAP,0.5788295642329839,0.472487082169848,0.1794923915167528,72240.6290242672,3610.778788328171,4904.055969953537,80755.4637825489,1663.0759718418121,82609.31674146652,108763.22181916237,273791.0783150196,163364.78052401543,1.4403201046102336,1.24192093126474,1.241620459703673,422551186.58574396,58225424.0200418,0.13779496039405076,1276019.3610048294,1811385.6019399166,2090219.0386484861,2328312.813320875,0.43871801275266153,2595068.002105117,0.03546652125621806,35.31012372125802,76.98755571697895,56.22150989612005,162.82856027008572
MOZ,SSA,0.8646552592416218,0.8035564019237085,0.04480197060539676,5171210.080841064,95845.92639541626,215651.54341125488,5482707.550647736,441631.0619354248,425870.0214958191,6921066.567100525,13271275.201179504,5908577.572143555,2.626028707896595,2.0692562019926806,2.061273846384698,1130380011.440925,99419816.79537793,0.0879525608990954,19958866.07692337,21000067.61289215,21695334.63534546,21788748.943595886,0.5635919331857139,22043778.840919495,0.33188252727685186,6.980461629987951,15.563860392057299,11.271694027163562,51.278867366543324
MRT,SSA,0.34900757270007743,0.24054726102594376,0.10029017172471598,47082.262702703476,9403.396645069122,33970.42242717743,90456.08177495003,24038.999786138535,213555.76157569885,368338.2463812828,696389.0895180702,304011.8433506489,2.63291088652703,2.4379415650173533,2.043523167383799,274907080.4075184,45864683.552884124,0.1668370399368941,2675608.38414371,3033400.311570406,3262804.546090722,3292838.74657917,0.3846021699057387,3330037.006122589,0.06626701191731349,25.113333632696037,43.73955991627868,34.42622463076679,82.55376138525656
MUS,SSA,0.5615874974295703,0.11381667276943733,0.31435371658733063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0320789383497977,1.5466705270090888,1.6514245418747389,943619649.1639819,183957077.62990993,0.1949483330416982,2274.062084197998,10758.062936782837,50933.159757614136,121749.7854309082,0.3522956944218478,1219305.4421195984,0.0,298.8176637628726,458.2390685972244,378.8531492750453,773.8993172404989
MWI,SSA,0.7688165930279467,0.8106690156153511,0.04751141487637805,3087788.003422737,120734.25781106949,241018.10376024246,3449540.364994049,356491.92425489426,913351.8076334,4859506.486823559,9578890.583705902,4362892.172627449,2.345086412048273,1.8057030044786349,1.9370907571141245,510316299.67034113,78006213.21863604,0.15285855707338214,13294723.80476141,13548619.012910843,13596243.794820786,13635213.68467331,0.4353638747986185,13710459.70930481,0.319059026943332,10.451599210418822,17.98933908161594,14.2208574654275,37.220947400035556
NAM,SSA,0.44244304851282823,0.3645227505987,0.13000342114266164,43556.12168121338,6912.348182678223,22236.10800933838,72704.57787322998,27232.986213684082,150156.19004058838,238101.24643707275,488195.0005645752,222860.76791381836,2.8147777699042384,2.9244833998310824,2.886438839074299,380419369.1259925,27673164.50847404,0.0727438368137056,1431439.0429382324,1641307.927520752,1739496.584236145,1846096.65259552,0.6524385904545579,2080616.802986145,0.08333620128543279,22.204935600435817,44.19080983167079,33.19677199139971,182.83970819614962
