countrycode,agricul,manufac,service
TUN,1.2848591708495358,1.0601086479180073,1.286556524446847
FSM,1.5828685192713888e-16,0.0,1.0875212593504348e-16
GHA,1.86105000136412,1.911217888589596,2.2379970953235744
GTM,1.3181440281144032,1.7333386008552667,1.555464423878032
HND,-2.1035750300074766e-16,0.0,7.84214966307396e-17
IRN,1.0,1.0,1.0
IRQ,1.3314286020201036,2.090402450401568,1.2423678112038643
JOR,1.6956875861012153,1.965799448086932,0.5608236803081829
KAZ,-2075055388234476.8,0.352879280438765,inf
LAO,9.166160704987262e-19,0.0,-2.084295669563396e-17
LBN,1.0,1.0,1.0
LKA,2.5292255051216044,1.4515861449975789,1.8403631366548838
LSO,1.2738772421584657,0.8481590612428904,0.8724719335211081
MAR,1.4010244618549421,1.4777979184316878,1.3443347058974575
MEX,1.0,1.0,1.0
MKD,1.3147504611791779e-16,0.0,-6.77919618887705e-17
MMR,1.0,1.0,1.0
MNG,2.8741462546530876e-17,0.0,2.1233078782320992e-17
MOZ,1.808543048252712,1.44719916818654,1.1744234342692133
MRT,1.338738362247512,1.5526969116418246,1.0787294804663663
NER,0.7723370557092364,1.5815274381519668,1.0564218430567047
NGA,1.1298253260950024,1.1621664195547703,1.7562246306157543
NIC,0.8836812543551094,1.6379825153287226,1.7225989705491345
PAK,1.1856721631264049,1.6966191086037596,1.9468373435334363
PAN,-9.097145214669527e-17,0.0,-3.799814327145527e-16
PER,-3.0513376755628996e-16,0.0,1.5212840228033616e-15
PHL,1.0,1.0,1.0
PNG,1.0,1.0,1.0
PSE,1.0,1.0,1.0
SDN,1.660713335636163,1.3652107782043843,1.6795955822845186
SLB,1.0,1.0,1.0
SLE,1.0,1.0,1.0
SLV,3.1619610979762986e-16,0.0,-1.4644719679601274e-16
SSD,1.6802348766643846,1.2599556488037986,1.4558704968353415
SWZ,1.0,1.0,1.0
SYC,-2.996722857870488e-16,0.0,-5.4091798341150575e-15
TCD,-1.4289832578880795e-16,0.0,2.022263172751821e-16
TGO,1.0,1.0,1.0
THA,2.0219030883319697,1.8757385098371002,2.129373342901299
TLS,1.0,1.0,1.0
TON,1.0,1.0,1.0
TZA,0.8291242071034045,0.7959337303191324,0.8012365738854615
UGA,1.5388035332622858,2.076389883958876,1.7532634813456356
URY,2.287358512341865e-16,0.0,3.341747215121013e-15
VNM,1.2947829151876806,1.6010461509050666,2.284032895105772
AGO,1.9800564055509309,1.7096259561312064,2.3362010198150176
VUT,1.0,1.0,1.0
ZMB,1.0,1.0,1.0
ARG,1.8034884559218942e-16,0.0,2.774206667372532e-16
BDI,1.651494011364944,1.2593476921027098,1.3403098643407063
BEN,1.0075984608014814,1.3311838433538472,2.3271843213641645
BFA,1.1124424777150053,1.6031737825563266,2.0257852731585566
BGD,1.3342683154995665,1.0734053354153452,1.5436076502180638
BIH,3.741848473806076e-17,0.0,-3.907875449145568e-17
BOL,1.1671357899503067e-16,0.0,-3.652924215859263e-16
BRA,2.4803920911834965,2.43403758707117,1.0699847934938254
BTN,1.4102059987065714,1.2782441672047875,1.3832166681848868
BWA,1.1228152633849091,0.857098753184405,1.0893980529959546
CIV,2.1605362431086186,1.6338903647326073,1.9694818731434376
CMR,2.196334401214653,1.2182222001254983,1.6532503872938973
COD,1.4884886841475478,0.9592863286999856,1.6365726370684297
COG,1.3659780559979782,1.003955603746304,
COL,1.182439660970485e-16,0.0,3.903488118958022e-16
COM,1.3197845556184742,1.1789064056405572,1.3251077877291402
CRI,-1.4170017450692487e-16,0.0,4.0889786249120463e-16
DJI,1.0,1.0,1.0
DOM,1.2875796812917863,1.3342816401057256,1.1310912292159707
ECU,-3.6332775868825096e-16,0.0,-3.4171996325414167e-16
ETH,1.1869820470060555,0.7600510360939962,0.8008971024112563
