countrycode,agricul,manufac,service
MYS,1.202171118686792,1.5499197602692547,1.4463929330525411
ARM,1.1913805382249407,,1.9659706142814333
CAF,1.3336334168929422,1.8033513501654268,1.4548419509399029
MDV,0.9444041584139132,1.2883661914574052,1.1211150663969516
CHL,1.2201358885926816,1.59648043998942,1.8847199294275303
AUT,-0.0,,
ALB,1.4682785197987471,1.1880609068686088,1.1392842254047637
AZE,1.0,1.0,1.0
BGR,1.9267786259025168e-16,1.3040814613167433,1.5459498683543218
BLZ,1.4458071147586768,1.3140134827492356,1.7286944878557151
CHN,1.6080424547546874,1.550668823737341,1.4505520084122203
CPV,1.1473936219679877,2.0827980747084416,1.4334236920337384
EGY,1.9852191293193573,1.1573481238651049,1.3578285308545142
GAB,1.809325566528862,2.2265902842311163,1.8286935393458563
GEO,1.0,1.0,1.0
GIN,1.7873839363348238,1.607945689172455,1.8849463926361585
GMB,3.89889477836006,0.9124863817361928,1.80891507825668
GUY,1.5535868488532547,1.9633586303285773,1.5106598455148248
HTI,1.6022261625086245,2.110262179759577,1.6688274208470204
HUN,1.4319833721993644,1.2614589492031298,1.6162505026761516
IDN,1.3429442408417196,1.428473228157621,1.4941103821900896
IND,1.4633261923723615,1.4817316426718072,1.6235174349743269
JAM,1.1494301388351944,0.9439296845444042,0.8312879748054234
KEN,3.107434260583108,2.3572020590000378,1.7031893267811242
KGZ,1.1999821169804574,0.904855002499149,0.5869998752119635
KHM,1.2478841762847823,1.0888090872924825,1.5613821841910889
LBR,1.0,1.0,1.0
MDA,1.0,1.0,1.0
MDG,1.7657992783109098,1.7482353566509754,1.5067780344849164
MUS,2.1995994750829704,1.7711519120305057,1.6303278385047528
MWI,1.9705489958180056,1.8685693872903728,1.7790979808872365
NAM,2.816648922333412,2.8859834303551004,2.90909240033428
NPL,1.7954160941668265,1.268703330190257,1.069518766779799
PRY,1.087891902261536,2.039822745168548,1.9919617891282304
ROU,1.327208160784439,1.3705745156249132,1.48831102526465
RWA,3.2484496065732995,2.302471328545124,1.4416088875297524
SEN,1.9414526841462303,1.1222182321129068,1.8271483741943384
SRB,1.0964200237370394,1.5379033562879223,1.9443625516730765
STP,2.3074552127563326,1.432118886927891,1.0485541239473006
SUR,1.0,1.0,1.0
SYR,1.318893886443187,1.4276354301863157,1.1692968378214517
TJK,1.0,1.0,1.0
TKM,2.715526353226683,1.415090816921552,1.5896006862123284
TUR,1.9660892610517096,1.7984991884077448,2.294351716954305
UKR,1.0,1.0,1.0
VEN,1.8568697327899308,1.3800154408689127,1.3131624739888466
YEM,1.0314962993285095,0.9250385295679142,2.122035351154059
ZAF,1.6584288141428831,1.4584720571472334,1.6287911843178478
