country,year,scenar,ssp,ccint,GDP,avincome,incbott10,incbott20,inc2040,incbott40,quintilecum1,quintilecum2,quintilepc1,quintilepc2,below125,below2,below4,below6,below8,below10,gini,tot_pop,gap125,gap2,gap4,gap6,gap8,gap10,childrenag,childrenonag,peopleag,peoplenonag,incsharebott20ag,incsharebott20nonag,poorag,poornonag,avincomeag,avincomenonag,shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
BTN,2030,0,ssp4,1,265394279.093028,273.2371568527958,59.04548057961125,75.4715112579555,120.7286804268326,98.10009584239405,101.65254909245908,145.33799865079948,0.026861989731459132,0.038406000264662454,685.3540402696219,29193.255822005907,289165.0506092379,527089.6042512828,631163.3481718714,699523.9143760107,0.4503864589812414,971296.44499994,0.0001016010742962396,0.003763969843278075,0.07621310781767912,0.19115173413386738,0.2936605127453776,0.37164040982689805,127495.14736467449,75178.2156353232,584126.3651539035,387170.0798460518,0.0879903246946888,0.047341143274677734,420.38479858189254,264.96924168772944,165.73211007788672,435.4308166348169,0.5843963925113521,0.18814372787425745,0.7914272407940932,0.019031379904077668,0.011772162544077668,-0.026967887395922333,2.6861511680000003,3.94546334,2.590009592,0.122814846891,0.13611725283,0.07674302257014197,0.02850310984976945,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.03798366504318462,0.02227499075968775,-0.0037114562903072246
BTN,2030,0,ssp5,1,310313613.41151243,311.00311415766873,77.6024917261273,94.77131355936717,148.3981134477919,121.58471350357954,118.42195678339638,176.36372579004865,0.03100584605488862,0.046176458150533915,143.8870585635626,7866.136317912623,203458.05516705304,411740.2848957329,561605.8980671639,653803.0876487468,0.4203090065161166,997782.9779999614,3.699642490983986e-05,0.000637192028834286,0.034948075941434543,0.12374042719246701,0.2172171147093169,0.2962487302651038,135243.38703348057,62298.7979665126,623716.9790821263,374065.9989178416,0.0881478485200332,0.05567594048748123,128.58396724648765,15.303091317074934,207.01476882156226,484.3930956059137,0.5843963925113521,0.18814372787425745,0.7914272407940932,0.019031379904077668,0.011772162544077668,-0.026967887395922333,2.6861511680000003,3.94546334,2.590009592,0.122814846891,0.13611725283,0.04928550514016039,0.03329561517333124,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.03838618208529199,0.024992899874398455,0.00039579410630863343
BTN,2030,1,ssp4,1,124816719.62923983,128.50527794245133,39.25639336557679,49.358549831701076,77.272715394769,63.315632613235024,66.56019021355488,92.32779891401226,0.024893404283016854,0.03453044856923404,20765.416605981703,139034.37898548198,561391.7792353617,822818.112466743,884381.986703771,926076.7376866787,0.3294508965344234,971296.4449999719,0.002974278548941456,0.03072085060919866,0.20745702282081474,0.38256469834284007,0.50840599020017,0.5926053550412974,80660.23037096336,122013.13262903507,406128.75808201823,565167.6869179604,0.09128475716058725,0.08194875705004932,17510.913660899023,3254.5029450826755,96.64929453392197,151.3969458113989,0.3879563947886128,0.19634006101454007,0.8175691175793696,-0.03650186585592233,0.0024608700040776657,0.006943729624077667,1.3558370320000002,2.15663988,2.1944255679999998,0.086076660493,0.08929182130600001,0.07674302257014197,0.02850310984976945,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,-0.0402146581121402,0.001982166212177283,0.008407972653194706
BTN,2030,1,ssp5,1,156386963.02621254,156.73444674279912,45.55567018772169,57.177628631026536,90.93463348772067,74.0561310593736,77.0426730417289,106.87261980073474,0.028679061484365536,0.03978323068567964,8729.121162230516,92796.92840559979,484589.93380862265,777920.9496964519,858104.2491201066,915953.6745765775,0.35570088608259187,997782.9779999602,0.0014682429285856262,0.016738790322415754,0.1531403546128152,0.31547146620918354,0.4413899762239248,0.5301810652079295,95197.19783076823,102344.98716922752,433609.29291187454,564173.6850880877,0.09143551454546753,0.08003184864056243,7985.544255043456,743.5769071870609,110.56912818499944,192.21591577617514,0.3879563947886128,0.19634006101454007,0.8175691175793696,-0.03650186585592233,0.0024608700040776657,0.006943729624077667,1.3558370320000002,2.15663988,2.1944255679999998,0.086076660493,0.08929182130600001,0.04928550514016039,0.03329561517333124,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,-0.03962564666714874,0.0012445499896245327,0.015594082562151002
BTN,2030,2,ssp4,1,362935592.72411484,373.6609915463188,65.27360440921782,86.00119717652248,164.73894358187505,125.37007037919875,125.2881928815213,214.1887025586904,0.031783409751132766,0.054335904612528046,998.1059893008021,20092.873556591283,178616.94796713567,323707.58373319067,444475.6756176116,531029.4307934883,0.4354924891809263,971296.4450000012,0.00011141556922782741,0.003207620126412191,0.050231855553554874,0.12090225556552027,0.18923309343776568,0.25165402437221257,73527.08058136814,129146.28241863186,355261.18880214094,616035.2561978571,0.0717273339975741,0.04698068511664266,401.08325528171133,597.0227340190909,208.34269413471338,468.9983513456249,0.3101543522554474,0.11704952248901343,0.661832579477635,0.014544454744077659,-0.00671518919592233,-0.035893216795922334,3.4020502919999998,4.006920043999999,2.233345608,0.169271758673,0.10948419131000002,0.07674302257014197,0.02850310984976945,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.03593470954168554,0.012458218230279039,-0.013718913342568584
BTN,2030,2,ssp5,1,459791545.98943824,460.8131789450493,75.83032421794658,100.3943920720344,214.7542752284027,157.57433365021853,152.64685359519913,285.6798431946762,0.038326619885023845,0.07172858464525815,255.0162572737392,8739.416424928084,135209.6131172621,244450.36642925255,326944.3025550812,415090.44609631936,0.4156430608394728,997782.9779999813,5.1518381466599164e-05,0.0012692167226675951,0.0324208298807854,0.08677905215405837,0.13705111673608217,0.18472380895910193,73831.69119111188,123710.49380888807,371700.0066259938,626082.9713739924,0.07123620478927949,0.05003231139724136,151.54556518029065,103.47069209344852,244.00114352396255,589.5325958391938,0.3101543522554474,0.11704952248901343,0.661832579477635,0.014544454744077659,-0.00671518919592233,-0.035893216795922334,3.4020502919999998,4.006920043999999,2.233345608,0.169271758673,0.10948419131000002,0.04928550514016039,0.03329561517333124,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.04229265228538592,0.01683029151748827,-0.009165802588902205
BTN,2030,3,ssp4,1,316529610.9528346,325.88362963980046,34.77270840385189,48.08233596768853,103.25422120135727,75.66827858452291,72.40015309656057,143.23480756696662,0.016889109361536474,0.03341302781709246,41938.7547163503,129165.86883863385,339116.82645542175,466061.34684188815,549329.4034118176,639255.75759742,0.5244740338079896,971296.444999974,0.008863534833937797,0.038679022792085106,0.14681719418528655,0.23526990260869643,0.3077407600497466,0.367490681205031,122117.30994867787,80556.0530513177,558961.6749888947,412334.77001107845,0.05070106822345336,0.02848444651007277,32432.218860591838,9506.53585575845,176.7741150206863,528.0167266038077,0.5570686565221876,0.18140774813205368,0.7958794701673844,0.015087312304077664,0.010856715964077668,-0.03646511261592233,3.51101664,3.05565972,3.382835472,0.199497196053,0.016807325006,0.07674302257014197,0.02850310984976945,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.04510309680723479,0.004933654461503512,-0.01779663221089911
BTN,2030,3,ssp5,1,356319851.9426305,357.11157616360344,46.972937108259266,63.74961663061384,131.82342171327863,97.78651917194624,101.4004884159557,174.26880004869267,0.023461825558333715,0.04032193780201951,13677.610658300451,63561.45478158739,266899.24561698525,416836.468951344,513131.95676819206,645452.1851376329,0.4980533035114082,997782.9779994608,0.0031295173536963943,0.016833990594981276,0.09436888200404346,0.17760472562026655,0.25176780778582514,0.3134049388275977,129392.57079808414,68149.61420181843,595619.7551171733,402163.2228823036,0.05371244706757254,0.040567371514566346,13584.82390442766,92.78675387278804,206.0154707733022,580.8909278575047,0.5570686565221876,0.18140774813205368,0.7958794701673844,0.015087312304077664,0.010856715964077668,-0.03646511261592233,3.51101664,3.05565972,3.382835472,0.199497196053,0.016807325006,0.04928550514016039,0.03329561517333124,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.04522676935694192,0.007181849576050281,-0.008601478318662092
BTN,2030,4,ssp4,1,289950793.17899233,298.5193600487155,60.25069637648954,74.77690044097837,118.70850735842801,96.74270389970317,100.13507402948055,142.01305383709288,0.027229880648822362,0.03861782241675229,561.2978016884942,21412.523817456433,292387.4820097167,506088.44700074644,613568.829272291,671802.7785101262,0.4727523786393323,971296.4449999726,9.389962892079656e-05,0.0024279212420348162,0.0780916089891304,0.19379140351054402,0.29185682378526406,0.3653207020900233,96988.10469549545,105685.25830450325,469990.4918677379,501305.95313225477,0.09834342770562102,0.04939639799730221,483.66064712191496,77.6371545665793,139.73405611976915,447.3857013092692,0.4403288539774595,0.2397775912394567,0.6918733170809954,0.0028845250240776762,-0.01865189933592233,-0.0015749554159223342,4.055502843999999,1.488118336,2.169268712,0.086841642363,0.16086546475600003,0.07674302257014197,0.02850310984976945,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.04071146392951763,0.008532217911316753,0.011011060981733767
BTN,2030,4,ssp5,1,325254149.3341027,325.976847175782,64.16164148473902,81.01636009778099,138.0470113017785,109.53168569977973,111.88827634990363,167.27110239056793,0.03015305928125977,0.0450783194715718,237.6255994508477,13338.868068365256,225161.35057128116,445702.30877906166,581671.1062377916,638352.1026605855,0.45282418053140316,997782.9779999444,4.618358039776343e-05,0.0012129018566644722,0.05926829588454542,0.15223406783503754,0.24411546420442606,0.3177381213000436,98536.49947191392,99005.68552807963,478504.2345534983,519278.74344647845,0.09379858903567455,0.05996238686403807,180.2523023556443,57.37329709520342,152.46383770373424,485.86536722465485,0.4403288539774595,0.2397775912394567,0.6918733170809954,0.0028845250240776762,-0.01865189933592233,-0.0015749554159223342,4.055502843999999,1.488118336,2.169268712,0.086841642363,0.16086546475600003,0.04928550514016039,0.03329561517333124,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.002934000000000054,0.0,0.04134195372800997,0.0028643564957440137,0.015316971556535108
