country,year,scenar,ssp,ccint,GDP,avincome,incbott10,incbott20,inc2040,incbott40,quintilecum1,quintilecum2,quintilepc1,quintilepc2,below125,below2,below4,below6,below8,below10,gini,tot_pop,gap125,gap2,gap4,gap6,gap8,gap10,childrenag,childrenonag,peopleag,peoplenonag,incsharebott20ag,incsharebott20nonag,poorag,poornonag,avincomeag,avincomenonag,shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
BFA,2030,0,ssp4,1,3314697233.138835,113.30682655798503,22.71525614043208,30.724420524713906,57.11881503030652,43.921617777510214,46.09001803352444,70.49722130182144,0.048773366212505276,0.07460155014512665,3978824.2707708576,9078092.810060851,21532894.05607487,25034775.983899333,26682748.40969848,27524754.174351655,0.4211256106879163,29254170.589999396,0.0360247339409767,0.10661571261868859,0.32522709537891054,0.48504945037636277,0.5848953813432151,0.6530841316577117,8923880.090956138,3865819.8350431887,19913185.511791524,9340985.07820762,0.06990536705897062,0.04309228323415896,2867118.2200811626,1111706.0506896959,88.33285859700868,166.54652802509034,0.6668629623496076,0.18006984753823008,0.8852048755209645,0.03570934967202155,0.028450132312021544,-0.010289917627978455,2.6861511680000003,3.94546334,2.590009592,0.122814846891,0.13611725283,0.12861391907864014,0.029911478743136488,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.0159137577,0.03474123910160243,0.02635350895288968,-0.0037945885613073216
BFA,2030,0,ssp5,1,4946670882.843537,199.37480441394163,39.98719104853346,53.70285495239483,94.58863705968209,74.14574600603845,82.49759187840576,111.45931600188084,0.08808540957190207,0.11900880107022416,510207.24234617554,2818558.094276555,11333063.820835128,15863731.456744507,18953939.109324954,19740117.051182605,0.42604948032943635,24810912.779993594,0.004345497252775282,0.02794852898737056,0.15016199524731472,0.2833110602041728,0.38931949057018067,0.46821771998364736,6095717.647912811,2313009.5070857545,17040202.640560195,7770710.139435252,0.0719801823419563,0.0582833721565592,472442.35234285373,37764.89000332172,138.27231023599725,333.3649885738173,0.6668629623496076,0.18006984753823008,0.8852048755209645,0.03570934967202155,0.028450132312021544,-0.010289917627978455,2.6861511680000003,3.94546334,2.590009592,0.122814846891,0.13611725283,0.053309381168431764,-0.029004767004074394,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.007956878850000002,0.040119924303914756,0.03351533455502098,0.019249864259571536
BFA,2030,1,ssp4,1,2445476187.104813,83.59410428613396,19.3553537335679,26.53968083717849,46.207180157452555,36.373430497315525,38.49980035219568,54.94724556585212,0.03518759638473166,0.050220039629729506,5442795.685256072,13188347.891013635,24213354.446604185,27123086.844442528,28357239.909469962,28841966.64474434,0.3778148035819411,29254170.58999892,0.052478967327651366,0.15427411508751407,0.4185774717238755,0.5739684984945417,0.6685547098145956,0.7305641558155052,7483135.972102298,5306563.953897249,16445759.036370128,12808411.55362918,0.07786728689463561,0.05731267520472431,3332026.4961771765,2110769.1890788972,68.26565980114836,103.27553811162898,0.48112013231599415,0.18757974185883602,0.9072834720041321,-0.019823896087978455,0.01913883977202155,0.02362169939202155,1.3558370320000002,2.15663988,2.1944255679999998,0.086076660493,0.08929182130600001,0.12861391907864014,0.029911478743136488,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.0159137577,-0.025137246651482537,0.015971509173418497,0.02294584051277493
BFA,2030,1,ssp5,1,2886254511.2234473,116.33004141427827,28.07315248244595,37.928444812581205,63.740046925396406,50.83424586898881,53.07405375739046,74.2271442996484,0.04797458873136237,0.06709524651644413,2019789.9435977526,6396818.368745482,17913993.418447103,21220901.39199324,22465798.860763613,23503035.479966287,0.38903146782355247,24810912.77999855,0.019617009612692627,0.07162348503336381,0.2957133513757265,0.4607995943745787,0.5670703487373905,0.6409512166169637,4573966.2127223015,3834760.94227706,12944990.09972165,11865922.68027711,0.07675121154350409,0.07177323988700886,1673009.3456845074,346780.5979132458,86.6769557115531,148.67972977741246,0.48112013231599415,0.18757974185883602,0.9072834720041321,-0.019823896087978455,0.01913883977202155,0.02362169939202155,1.3558370320000002,2.15663988,2.1944255679999998,0.086076660493,0.08929182130600001,0.053309381168431764,-0.029004767004074394,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.007956878850000002,-0.035691659664316866,0.01380347119070735,0.03183511412578466
BFA,2030,2,ssp4,1,3896069866.6660857,133.17998042979514,22.899219139460634,31.627981141539767,61.229111233012,46.42854618727588,47.70164234491451,77.55899638213512,0.043770667356576684,0.07116755030373273,3695331.324554062,8520633.602381572,18209977.29112468,23032307.83359635,25288092.435728297,26926335.20291761,0.4346948350794143,29254170.58999894,0.034159041470946644,0.09748088677407708,0.28395203079393927,0.4247797304850534,0.5247909391769611,0.5953095131112875,5953695.534596048,6836004.391403814,13062868.575242262,16191302.014757363,0.06300434111123426,0.05284685112929419,2634328.3907109923,1061002.9338430704,85.93240342855482,171.29852631963976,0.4075548109454326,0.11492974645734273,0.7757533523162351,0.031222424512021542,0.009962780572021553,-0.019215247027978454,3.4020502919999998,4.006920043999999,2.233345608,0.169271758673,0.10948419131000002,0.12861391907864014,0.029911478743136488,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.0159137577,0.02947914983774802,0.010675164677864446,-0.01363519370565569
BFA,2030,2,ssp5,1,6815297943.369429,274.6895289101664,41.469584174386966,56.730185918874746,121.0836248104013,88.90690536463802,89.753231194647,165.1253841218771,0.06070608929481742,0.11168529734160197,486269.0837760439,2541204.852580192,7043386.944036834,11309900.06114044,13619137.851754226,15188329.870167578,0.41509424222135616,24810912.779999822,0.003632962070002422,0.024095865951540122,0.11196999371482359,0.19935088899731182,0.2769082986448527,0.3376986168916818,3463787.2045235834,4944939.950476232,10084429.52143985,14726483.258559898,0.06002897731706706,0.05995013703683342,408472.37880094186,77796.70497510216,150.67067717324957,359.615396662327,0.4075548109454326,0.11492974645734273,0.7757533523162351,0.031222424512021542,0.009962780572021553,-0.019215247027978454,3.4020502919999998,4.006920043999999,2.233345608,0.169271758673,0.10948419131000002,0.053309381168431764,-0.029004767004074394,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.007956878850000002,0.042395477319555175,0.017796068930394204,0.0006733616879417426
BFA,2030,3,ssp4,1,3448503976.3578353,117.88076389821299,15.351844509136862,22.379633263038507,47.73127350631191,35.055453384675204,36.111517113616735,61.2774389601039,0.028665829281513937,0.04864289136654333,6309437.916349746,11608853.444942066,21045943.563792426,24635229.302243683,26038017.262514953,26948549.201149885,0.49266860843951354,29254170.589998823,0.075499418430922,0.16076004435376073,0.3671193274764931,0.506561812506379,0.5962761292463457,0.6573467249949231,8835103.06867719,3954596.8573221047,19559461.29084075,9694709.299157921,0.05072486607967966,0.03084511574186919,4773006.178569529,1536431.7377802175,86.40222898802884,181.38995907558953,0.6410233620651321,0.17389800274570028,0.8889650866408778,0.03176528207202155,0.02753468573202155,-0.019787142847978455,3.51101664,3.05565972,3.382835472,0.199497196053,0.016807325006,0.12861391907864014,0.029911478743136488,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.0159137577,0.03597823237214781,0.0183187380617722,-0.0186150301159016
BFA,2030,3,ssp5,1,5456233302.443447,219.91263887887732,23.430746393762817,33.386413629095514,78.26051508690284,55.823464357999185,54.97617742779964,103.61461047068597,0.03564062492834383,0.06717253984659169,2852467.1580585255,5375200.467771812,11493968.397598468,15551422.010474967,17802563.232957803,18852094.688354466,0.5071642040219091,24810912.779995453,0.031867330073438165,0.08451904650186981,0.21590397706732534,0.32894620014880566,0.41542994990183524,0.47905956749139217,5847100.996087179,2561626.1589120133,16434587.216124386,8376325.56387426,0.045734126448194426,0.0487592393779292,2613878.323333531,238588.83472499423,130.98757713287898,394.38612033796954,0.6410233620651321,0.17389800274570028,0.8889650866408778,0.03176528207202155,0.02753468573202155,-0.019787142847978455,3.51101664,3.05565972,3.382835472,0.199497196053,0.016807325006,0.053309381168431764,-0.029004767004074394,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.007956878850000002,0.04721309152113462,0.02066714442742512,0.009193178736125462
BFA,2030,4,ssp4,1,3039211096.063209,103.88983979952951,21.425165159192264,27.76256508850467,46.18670790330093,36.9746364959028,38.23118743397087,55.97275385622324,0.03935669815967386,0.05762056913585892,5401474.0055551,12727719.401126452,22038252.42687143,24936353.028882015,26796375.75239902,27681058.88161098,0.45180228270027745,29254170.5899985,0.04561415052465942,0.14910755422993124,0.3893082901074063,0.5302240564728099,0.6192182118378561,0.6822476676155893,7399795.415902513,5389904.510097015,16128134.813841024,13126035.776158117,0.08355431974286662,0.05454641478350197,4566446.084410831,835027.9211442679,60.24945102769897,157.51136616463145,0.530640641877832,0.22737940055426115,0.8011248024630307,0.019562494792021552,-0.0019739295679784517,0.015103014352021549,4.055502843999999,1.488118336,2.169268712,0.086841642363,0.16086546475600003,0.12861391907864014,0.029911478743136488,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.0159137577,0.027605489340904343,0.003758153273429654,0.015723217853415683
BFA,2030,4,ssp5,1,5312068849.247377,214.10211290289254,34.05511546903822,44.50884701766609,76.2422414227955,60.37554422023079,61.097440585915784,92.99364157308625,0.06096350120066417,0.09278977851327293,1036481.0370285743,4884024.966541871,12395935.066558395,14706954.510000221,16592399.659219863,18458426.26690264,0.4712331762933307,24810912.779996064,0.008202461000249236,0.04496416240205735,0.203399225476098,0.3200681328188717,0.3999943006745363,0.4595604212028408,4514248.394572667,3894478.7604266345,12885112.237323388,11925800.54267492,0.07931645948416778,0.056386352512524884,1005926.7374448888,30554.29958368544,96.78242684445362,340.85899744923375,0.530640641877832,0.22737940055426115,0.8011248024630307,0.019562494792021552,-0.0019739295679784517,0.015103014352021549,4.055502843999999,1.488118336,2.169268712,0.086841642363,0.16086546475600003,0.053309381168431764,-0.029004767004074394,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.007956878850000002,0.043242461543491206,0.005705202483383465,0.029801497715008063
BFA,2030,5,ssp4,1,2314708385.546408,79.12404757554975,15.105132949966855,19.95732301702596,36.19466707668614,28.075995046856047,28.601964853874673,44.694361713883595,0.022604474274357033,0.035322487623902755,9363397.051087191,16011185.671424575,23246832.587073304,26852065.009350497,28510069.06384498,28694893.587231018,0.4342229990845242,29254170.58999903,0.10212835763828458,0.2286017187157996,0.4641334461372635,0.6000051616374242,0.6882075828818826,0.7461714299059594,6537612.704963294,6252087.22103633,14140114.587007374,15114056.002992122,0.0778292309280125,0.06178800413275366,7672169.943337855,1691227.1077493366,43.10985478966977,112.81750568170706,0.477720386718742,0.18953713696373925,0.7221127369692594,0.010953071212021548,-0.015336840427978456,0.008081465452021548,1.047503004,2.8720156119999998,3.4196213280000003,0.034758206372,0.08789412729400001,0.12861391907864014,0.029911478743136488,0.5,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.0159137577,0.0015970252024657405,-0.01107415282244939,0.014371019032789256
BFA,2030,5,ssp5,1,2820150500.5796494,113.66572949516652,20.53103726397082,26.86198727747589,49.88049781731131,38.37124254739361,38.00635496221172,63.8043692016814,0.029704999863271526,0.04986820704843982,4827830.65341287,9144838.64733967,16150426.627722248,20962934.208113622,22661974.257110823,23395362.127045643,0.4395735062187561,24810912.77999723,0.0501913364680922,0.1387627026845508,0.3373540022156368,0.47881606475924193,0.5800303767699014,0.6510861329480392,3859392.6328479983,4549334.522151613,10992696.826708682,13818215.953290194,0.08016979000488286,0.07027721366283222,4494880.408943668,332950.2444692035,54.906975552008994,160.40961960339055,0.477720386718742,0.18953713696373925,0.7221127369692594,0.010953071212021548,-0.015336840427978456,0.008081465452021548,1.047503004,2.8720156119999998,3.4196213280000003,0.034758206372,0.08789412729400001,0.053309381168431764,-0.029004767004074394,1.0,1.0,0.03,1.0,1.0,1.0,1.0,-0.006238999999999919,0.007956878850000002,-0.01609702546035685,-0.010888811313681468,0.02781672598821805
